state.abb,state.name,id,geo_id,year,name,category,total_liabilities,current_liabilities,total_assets,current_assets,compensated_absences,expenses,revenues,unrestricted,population,urban_pop,pct_urban_pop,median_hh_income_21,url,modified_revenues,net_pension_liability,net_opeb_liability,assets_liab_ratio
CA,California,31665,06000,2021,California,General Purpose,480810792000,151339228000,419461604000,238896776000,5907133000,569018193000,573972781000,-227096122000,39538245,37259490,94.2366327389068,84831,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/CA/State%20of%20California/CA%20State%20of%20California%202021.pdf,-146384640000,94255760000,93951696000,1.1462569813660466
CO,Colorado,31946,08000,2021,Colorado,General Purpose,35468430000,11422957000,56898947000,0,695124000,46255427000,51048135000,0,5773733,4966936,86.0267065531822,82228,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/CO/State%20of%20Colorado/CO%20State%20of%20Colorado%202021.pdf,-6630249000,9244732000,1260020000,0.6233582846445296
CT,Connecticut,149448,09000,2021,Connecticut,General Purpose,106761347000,5205641000,43684541000,0,791037000,47016379000,45371906000,-68176149000,3605942,3110153,86.2507293513155,83628,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/CT/State%20of%20Connecticut/CT%20State%20of%20Connecticut%202021.pdf,-6850114000,42551460000,26040226000,2.4439159610261214
DE,Delaware,32212,10000,2021,Delaware,General Purpose,19185075000,2491186000,16440516000,4944436000,242235000,13303770000,13557188000,-8387335000,989957,817817,82.6121170000849,71636,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/DE/State%20of%20Delaware/DE%20State%20of%20Delaware%202021.pdf,-2237768000,1717955000,9564690000,1.1669387384191592
FL,Florida,32221,12000,2021,Florida,General Purpose,76561985000,16014011000,183625218000,0,850110000,128032435000,136963300000,-10000860000,21538226,19714806,91.534194591216007,63054,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/FL/State%20of%20Florida/FL%20State%20of%20Florida%202021.pdf,-7083146000,10243863000,7142549000,0.41694700670144336
GA,Georgia,1265711,13000,2021,Georgia,General Purpose,44216533000,13756082000,73304004000,0,681405000,73263471000,78710603000,0,10711937,7933986,74.0669729426354,66507,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/GA/State%20of%20Georgia/GA%20State%20of%20Georgia%202021.pdf,-8308950000,8366002000,6115969000,0.6031939674127487
HI,Hawaii,71062,15000,2021,Hawaii,General Purpose,32322093000,3997605000,25972001000,0,293786000,19359781000,17733597000,-12518427000,1455273,1252450,86.0630081957244,85547,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/HI/State%20of%20Hawaii/HI%20State%20of%20Hawaii%202021.pdf,-5623789000,7814788000,6516876000,1.2444976033999076
ID,Idaho,32673,16000,2021,Idaho,General Purpose,4619378000,1949499000,22044972000,0,90481000,12729692000,14814011000,2518848000,1839092,1273437,69.2421752742909,66318,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/ID/State%20of%20Idaho/ID%20State%20of%20Idaho%202021.pdf,134820000,564007000,100958000,0.20954338250010024
IL,Illinois,1267369,17000,2021,Illinois,General Purpose,270295626000,22967916000,61507898000,0,448385000,124485837000,119714303000,-223762156,12812545,11137590,86.9274774306482,72215,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/IL/State%20of%20Illinois/IL%20State%20of%20Illinois%202021.pdf,-27739450000,151870659000,56669748000,4.394486477167534
IN,Indiana,196751,18000,2021,Indiana,General Purpose,18873711000,6347078000,38207125000,0,207820000,46967068000,51623118000,0,6785668,4829686,71.1762739760266,62723,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/IN/State%20of%20Indiana/IN%20State%20of%20Indiana%202021.pdf,-1691028000,11392203000,98219000,0.493984067107902
IA,Iowa,1036991,19000,2021,Iowa,General Purpose,9323755000,26687000,31703103000,0,587113000,27804747000,30159253000,3836229000,3190372,2014831,63.1535411734505,65645,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/IA/State%20of%20Iowa/IA%20State%20of%20Iowa%202021.pdf,2327819000,1077174000,468779000,0.2940959754002629
KS,Kansas,33447,20000,2021,Kansas,General Purpose,10466817000,2953827000,23567266000,0,120267000,20499676000,21921225000,0,2937847,2124059,72.2990387626452,64128,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/KS/State%20of%20Kansas/KS%20State%20of%20Kansas%202021.pdf,-1532278000,2261074000,51241000,0.4441252116388893
KY,Kentucky,90208,21000,2021,Kentucky,General Purpose,41626348000,3523315000,37741186000,0,274075000,33360397000,39524417000,0,4505893,2644856,58.6984524070561,55532,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/KY/Commonwealth%20of%20Kentucky/KY%20Commonwealth%20of%20Kentucky%202021.pdf,2640705000,26615447000,3195447000,1.1029422339827901
LA,Louisiana,90240,22000,2021,Louisiana,General Purpose,37286338000,11000094000,40664471000,0,238418000,42128306000,43165436000,0,4657749,3332237,71.5416669439818,52090,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/LA/State%20of%20Louisiana/LA%20State%20of%20Louisiana%202021.pdf,-9962964000,7652518000,6249082000,0.9169266704588386
ME,Maine,33873,23000,2021,Maine,General Purpose,9546245000,1112683000,10517354000,0,69304000,12148245000,13034219000,0,1362341,526309,38.6321813853764,64823,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/ME/State%20of%20Maine/ME%20State%20of%20Maine%202021.pdf,-226709000,2687061000,2931246000,0.9076660346319045
MD,Maryland,149463,24000,2021,Maryland,General Purpose,70729931000,11279016000,61142179000,0,412144000,61056711000,63281519000,-34692486000,6177213,5288760,85.6170992018421,90129,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/MD/State%20of%20Maryland/MD%20State%20of%20Maryland%202021.pdf,-9054208000,20663518000,15681628000,1.1568107672446544
MA,Massachusetts,149462,25000,2021,Massachusetts,General Purpose,131059556000,14272168000,49237322000,0,984935000,95181525000,94323492000,-79290379000,7029949,6416895,91.279811696212093,89577,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/MA/Commonwealth%20of%20Massachusetts/MA%20Commonwealth%20of%20Massachusetts%202021.pdf,-15130201000,47141778000,19694477000,2.6617929382918106
MI,Michigan,80814,26000,2021,Michigan,General Purpose,38108406000,11540044000,59599175000,0,459700000,84563377000,91287735000,0,10077325,7404258,73.4743951548282,63444,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/MI/State%20of%20Michigan/MI%20State%20of%20Michigan%202021.pdf,-4815686000,7651000000,7778200000,0.6394116361510037
