"","state.abb","state.name","id","geo_id","year","name","category","total_liabilities","current_liabilities","net_pension_liability","net_pension_assets","net_opeb_liability","net_opeb_assets","total_assets","current_assets","compensated_absences","expenses","revenues","unrestricted","population","urban_pop","pct_urban_pop","median_hh_income_21","url"
"341","PA","Pennsylvania",37707,"42029",2022,"chester county","General Purpose",919356434,218530169,116832844,0,8377000,0,828722227,350263944,13448382,547598328,562274207,-77491166,534408,431206,0.806877826699575,109616,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/PA/Chester%20County/PA%20Chester%20County%202022.pdf"
"342","MA","Massachusetts",116576,"25023",2020,"plymouth county","General Purpose",144863063,93711473,33706568,0,15816234,0,111143412,0,518788,21594317,16771794,-30597120,530820,464652,0.875349224500253,99445,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/MA/Plymouth%20County/MA%20Plymouth%20County%202020.pdf"
"343","MA","Massachusetts",116576,"25023",2021,"plymouth county","General Purpose",93417967,49428938,27450166,0,15227230,0,65864456,0,479133,63376462,61860393,-32235919,530820,464652,0.875349224500253,99445,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/MA/Plymouth%20County/MA%20Plymouth%20County%202021.pdf"
"344","MA","Massachusetts",116576,"25023",2022,"plymouth county","General Purpose",78355633,56195689,7425217,0,13675269,0,72907825,66714311,504458,52420400,60964697,0,530820,464652,0.875349224500253,99445,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/MA/Plymouth%20County/MA%20Plymouth%20County%202022.pdf"
"345","SC","South Carolina",44061,"45045",2020,"greenville county","General Purpose",613256501,109306463,232505430,0,38130664,0,0,0,10894598,330102648,313651281,-259973458,525539,463016,0.881039095472415,68487,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/SC/Greenville%20County/SC%20Greenville%20County%202020.pdf"
"346","SC","South Carolina",44061,"45045",2021,"greenville county","General Purpose",714136016,108178649,277695887,0,50897201,0,0,0,15793805,440181044,432109937,-291243040,525539,463016,0.881039095472415,68487,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/SC/Greenville%20County/SC%20Greenville%20County%202021.pdf"
"347","SC","South Carolina",44061,"45045",2022,"greenville county","General Purpose",701306285,169867643,181831871,0,53616299,0,1058123522,172791671,12059236,408429341,450210048,0,525539,463016,0.881039095472415,68487,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/SC/Greenville%20County/SC%20Greenville%20County%202022.pdf"
"348","NJ","New Jersey",44971,"34031",2020,"passaic county","General Purpose",832741739,0,367960238,0,0,0,0,0,20534346,594151005,620544940,0,525052,509279,0.971687673386528,74016,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/NJ/Passaic%20County/NJ%20Passaic%20County%202020.pdf"
"349","NJ","New Jersey",44971,"34031",2021,"passaic county","General Purpose",932034380,0,367960238,0,0,0,0,0,21516851,695950718,718859751,0,525052,509279,0.971687673386528,74016,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/NJ/Passaic%20County/NJ%20Passaic%20County%202021.pdf"
"350","NJ","New Jersey",44971,"34031",2022,"passaic county","General Purpose",886984413,4550000,265381210,0,1742224706,0,886984413,0,18633699,519650804,548111798,0,525052,509279,0.971687673386528,74016,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/NJ/Passaic%20County/NJ%20Passaic%20County%202022.pdf"
