"","state.abb","state.name","id","geo_id","year","name","total_liabilities","current_liabilities","net_pension_liability","net_pension_assets","net_opeb_liability","net_opeb_assets","total_assets","current_assets","compensated_absences","expenses","revenues","population","median_hh_income_21"
"178","AZ","Arizona",31625,"0420050",2020,"douglas",54489886,2296114,36385483,13277,26494,415303,0,0,1695125,25317496,29558333,16531,NA
"179","AZ","Arizona",64748,"0422220",2020,"el mirage",56615157,4011564,19292478,0,37992,135036,0,0,1132004,39119788,55353931,35798,NA
"180","AZ","Arizona",43495,"0422360",2020,"eloy",35527695,2296083,11831937,0,0,0,0,0,1005000,22698281,25664692,15628,NA
"181","AZ","Arizona",31628,"0423620",2020,"flagstaff",326722305,20881610,159838727,0,8049880,1320973,0,0,5515076,166726287,205342241,76847,61386
"182","GA","Georgia",70903,"1343192",2020,"kennesaw",38483951,4435225,5980868,0,9354841,0,0,0,822322,28205557,37229154,33234,NA
"183","AZ","Arizona",44287,"0427820",2020,"glendale",1364207000,74510000,379276000,0,3126000,1711000,2171283000,0,34513000,467437000,552856000,248374,62910
"184","AZ","Arizona",91958,"0428030",2020,"globe",22550988,1208658,14661365,0,30497,114052,0,0,334203,15654322,20370099,7246,NA
"185","AZ","Arizona",66950,"0428380",2020,"goodyear",616249838,54558796,72934890,0,201540,307937,0,0,6930806,202437659,296160355,95288,90577
"186","LA","Louisiana",50880,"2238075",2020,"jeanerette",6908921,299576,2592955,0,0,0,0,0,0,4903360,4727041,4812,NA
"187","AZ","Arizona",110890,"0433280",2020,"holbrook",11010266,532818,10223067,0,10136,107350,0,0,228845,8409222,12216118,4845,NA
"188","AZ","Arizona",43416,"0437620",2020,"kingman",89156080,7470388,49014474,0,4918595,163584,0,0,1973001,58330894,71261612,32690,NA
"189","AR","Arkansas",96293,"0570010",2020,"trumann",101913,101913,1870736,0,0,0,0,0,225095,6236693,6833541,7399,NA
"190","AR","Arkansas",96299,"0571480",2020,"van buren",527458,527458,11062561,0,0,0,0,0,1763465,14501411,18238329,23215,NA
"191","AR","Arkansas",96301,"0571960",2020,"vilonia",121239,121239,1322639,0,0,0,0,0,0,4326605,10558237,4287,NA
"192","OK","Oklahoma",125837,"4055000",2020,"oklahoma city",2204253000,125893000,288492000,11458000,425090000,0,4635404000,0,92640000,1009813000,1077290000,681084,59214
"193","AR","Arkansas",96303,"0572380",2020,"waldron",128570,128570,2042660,0,0,0,0,0,0,3113362,3309205,3382,NA
