"","state","id","year","name","total_liabilities","current_liabilities","net_pension_liability","net_pension_assets","net_opeb_liability","net_opeb_assets","total_assets","current_assets","compensated_absences","expenses","revenues"
"166","IA","163183",2020,"Riverside Community School District",23028911,1504942,3699776,0,1587135,0,0,0,25776,11417784,11430934
"167","IA","163187",2020,"Rudd-Rockford-Marble Rock Community School District",3581971,864453,2531370,0,148756,0,0,0,0,7074637,7080913
"168","IA","163188",2020,"Ruthven-Ayrshire Community School District",2098198,656868,1181618,0,229192,0,0,0,19154,3985241,4324090
"169","IA","163193",2020,"Sergeant Bluff-Luton Community School District",15922576,2442661,9591404,0,3522628,0,0,0,365833,23260682,22441955
"170","IA","163190",2020,"Schaller Crestland Community School District",2464441,497791,1741345,0,225305,0,0,0,0,6400623,7011922
"171","IA","163194",2020,"Seymour Community School District",4929976,429510,1447109,0,65357,0,0,0,0,4341998,4310126
"172","IA","163197",2020,"Sheldon Community School District",11131524,1376746,5540674,0,310447,0,0,0,0,15188479,16664332
"173","IA","163202",2020,"Sioux Central Community School District",11253695,1086629,3270012,0,783141,0,0,0,0,9034662,9803052
"174","IA","163206",2020,"Solon Community School District",42171679,876466,8124712,0,623663,0,0,0,0,22816485,21657949
"175","IA","163198",2020,"Sibley-Ocheyedan Community School District",8529561,1147911,3762766,0,493300,0,0,0,0,10803459,10864593
"176","IA","163211",2020,"South Hamilton Community School District",15239647,968594,4036282,0,441841,0,0,0,0,10925051,11156431
"177","IA","163199",2020,"Sidney Community School District",12451499,1087565,2827715,0,329364,0,0,0,36855,7288459,7844722
"178","TX","163519",2020,"Comstock Independent School District",3679570,305242,665866,0,1079390,0,0,0,0,3372471,3595792
"179","TX","163515",2020,"Como-Pickton Independent School District",7505011,658467,2072095,0,3314409,0,0,0,0,9878378,10180504
"180","TX","163513",2020,"Collinsville Independent School District",14053917,784503,1477265,0,1810561,0,0,0,0,7864075,7703305
"181","TX","163522",2020,"Cotton Center Independent School District",1239105,141459,437044,0,660602,0,0,0,0,2301691,2480059
"182","TX","163523",2020,"Coupland Independent School District",6376684,250032,399454,0,560385,0,0,0,0,2151187,2318592
"183","TX","163514",2020,"Colmesneil Independent School District",3845391,419321,1047944,0,1348126,0,0,0,0,6002845,6681653
"184","TX","163524",2020,"Crane Independent School District",12776392,1554645,3506082,0,4130733,0,0,0,0,20295116,19157195
"185","TX","163525",2020,"Cranfills Gap Independent School District",1162339,105531,391494,0,597501,0,0,0,0,2309286,2279246
"186","TX","163526",2020,"Crawford Independent School District",11060875,474978,1549727,0,2490352,0,0,0,0,7949113,8590384
"187","WA","39705",2020,"College Place School District No. 250",3567,3567,5409657,0,0,0,0,0,393545,25989492,27533645
"188","IA","163219",2020,"Southeast Webster-Grand Community School District",8269330,1309230,2574825,0,511409,0,0,0,0,9357508,9746418
"189","IA","163218",2020,"Southeast Warren Community School District",5158784,1065526,2853093,0,304932,0,0,0,0,8117306,8625174
"190","IA","163238",2020,"Stratford Community School District",1537608,494533,859119,0,180236,0,0,0,3720,2820003,2635888
"191","IA","163233",2020,"Starmont Community School District",5179193,1142526,3193221,0,578078,0,0,0,28885,8752686,9553228
"192","TX","163530",2020,"Cross Roads Independent School District",9090096,456079,1410061,0,2236215,0,0,0,0,8534181,8322223
"193","TX","163532",2020,"Crowell Independent School District",1674227,171456,605687,0,897084,0,0,0,0,3700321,4086683
"194","TX","163533",2020,"Crystal City Independent School District",61093397,1673806,5066324,0,7863667,0,0,0,0,27375424,28752951
"195","TX","163535",2020,"Cumby Independent School District",4797759,248517,1032542,0,1460534,0,0,0,0,5707423,6214829
"196","TX","163536",2020,"Cushing Independent School District",13988245,327018,1246007,0,1684757,0,0,0,0,8104036,8347951
"197","TX","163538",2020,"Danbury Independent School District",26970852,1488021,2345145,0,2672996,0,0,0,0,10495358,11438588
"198","TX","163539",2020,"Darrouzett Independent School District",3238727,94108,447322,0,692586,0,0,0,0,2652160,2360589
"199","TX","163540",2020,"Dawson Independent School District",12825988,333344,1229076,0,1820158,0,0,0,0,8074925,9490361
"200","TX","163527",2020,"Crockett County Consolidated Common School District",12914756,1352425,2426251,0,3926837,0,0,0,0,19299171,20993401
"201","TX","163537",2020,"Damon Independent School District",3701880,838257,683673,0,871697,0,0,0,0,2584069,2321207
"202","IA","163252",2020,"Tri-County Community School District",2235432,660539,1266945,0,265965,0,0,0,0,3831708,4501310
"203","TX","163541",2020,"Dekalb Independent School District",7394841,611372,2675227,0,3480992,0,0,0,89020,11546250,10819131
"204","IA","163247",2020,"Tipton Community School District",11942137,1286487,4643969,0,617681,0,0,0,0,12618477,13190246
"205","IA","163250",2020,"Treynor Community School District",23703060,3029187,3642366,0,690930,0,0,0,0,10331943,11293237
"206","IA","163249",2020,"Treasurer of State Iowa Educational Savings Plan Trust",46790,46790,0,0,0,0,0,0,0,506332498,660397308
"207","TX","163543",2020,"Denver City Independent School District",83748392,1582231,3854075,0,6974312,0,0,0,114325,27351731,26335448
"208","TX","163544",2020,"Devers Independent School District",1761535,256851,522799,0,702315,0,0,0,0,2667468,2946488
"209","TX","163545",2020,"Dew Independent School District",1690410,279209,464060,0,647141,0,0,0,0,2966981,2913774
"210","TX","163547",2020,"Dime Box Independent School District",5265805,613633,486560,0,663935,0,0,0,0,3030027,3197273
"211","TX","163548",2020,"Divide Independent School District",180896,24602,65140,0,91154,0,0,0,0,482983,649963
"212","IA","163259",2020,"Union Community School District",11630477,595055,5283710,0,708712,0,0,0,0,15415028,16223038
"213","IA","163260",2020,"United Community School District",4491504,843203,1740512,0,1893071,0,0,0,14718,6915660,8416797
"214","IA","163256",2020,"Twin Cedars Community School District",3111618,567273,2091857,0,450303,0,0,0,0,5431290,5367956
"215","IA","163253",2020,"Tripoli Community School District",5392847,525734,2272262,0,434851,0,0,0,0,6350724,6655882
"216","IA","163265",2020,"Van Meter Community School District",16193343,1161961,3882354,0,313397,0,0,0,8514,11112286,11675957
"217","IA","163254",2020,"Turkey Valley Community School District",3492818,748617,1994277,0,538707,0,0,0,0,6030028,6376032
"218","IA","163257",2020,"Twin Rivers Community School District",1238343,560458,460866,0,107844,0,0,0,0,2588097,2454039
"219","IA","163267",2020,"Villisca Community School District",10143549,2091692,1510748,0,351109,0,0,0,0,4913202,6087134
"220","TX","163551",2020,"Douglass Independent School District",3169150,451825,937862,0,1614793,0,0,0,0,5378847,5728415
"221","TX","163550",2020,"Doss Consolidated Community School District",195556,16790,72551,0,106215,0,0,0,0,677486,820897
"222","TX","163553",2020,"Driscoll Independent School District",11099025,1118899,1034146,0,1362718,0,0,0,0,5401574,5221182
"223","WA","43022",2020,"University Place School District No. 83",2738794,2738794,21615291,0,0,0,0,0,2223949,86573542,88925343
"224","NC","36539",2020,"Cumberland County Board of Education",746287666,35655479,183778157,0,490843482,676022,328092055,0,27872841,517377178,508669063
"225","WA","44536",2020,"Issaquah School District No. 411",21465717,21465717,95588155,0,0,0,0,0,4886669,438526213,392401052
"226","OK","148641",2020,"Cherokee School District No. 1-46",0,0,0,0,0,0,0,0,0,8066509,6129409
"227","OK","148629",2020,"Avant Dependent School District No. C-35",611095,61095,0,0,0,0,0,0,0,1138730,1158638
"228","OK","148688",2020,"Hodgen School District No. C-014",0,0,0,0,0,0,0,0,0,2545920,2613521
"229","OK","148709",2020,"Leach School District No. C-14",66980,36558,0,0,0,0,0,0,0,1328185,1440657
"230","OK","148689",2020,"Holly Creek Public Schools",350280,110280,0,0,0,0,0,0,0,2814741,2707032
"231","OK","148791",2020,"Porter Consolidated School District No. 1-365",1997064,459760,0,0,0,0,0,0,0,5908451,5988678
"232","OK","148843",2020,"White Rock Public Schools C-5",104391,104391,1164610,0,0,0,0,0,0,1294711,1283207
"233","OK","148839",2020,"Wapanucka Public Schools",0,0,1693446,0,0,0,0,0,0,2741156,2783244
"234","OK","148833",2020,"Turkey Ford Public Schools C-10",307825,37825,0,0,0,0,0,0,0,1193379,1228665
"235","UT","102430",2020,"Provo City School District",199157917,14690573,38375101,0,28842721,0,0,0,1455657,159245403,161539475
"236","AZ","1266980",2020,"Grand Canyon Unified School District No. 4",5509126,453330,4218382,0,0,0,0,0,759311,6634906,5816738
"237","NY","36217",2020,"Lowville Academy and Central School District",78520743,1171391,2495369,1561757,54217579,0,0,0,712472,33492454,29562632
