"","state.abb","state.name","id","geo_id","year","name","total_liabilities","net_pension_liability","net_opeb_liability","current_liabilities","net_pension_assets","net_opeb_assets","total_assets","expenses","revenues","population","urban_pop","pct_urban_pop","median_hh_income_21"
"4096","KY","Kentucky",1036541,"21013",2021,"bell county",0,0,0,0,0,0,0,9105816,13303441,24102,9815,0.407312113541105,31033
"4097","TX","Texas",55081,"48419",2020,"shelby county",1146714,24320,0,545870,0,0,0,12479113,14671267,24022,5123,0.213262842394472,43244
"4098","TX","Texas",55081,"48419",2021,"shelby county",1600046,385493,0,583913,0,0,0,13251000,15909088,24022,5123,0.213262842394472,43244
"4099","TX","Texas",55081,"48419",2022,"shelby county",981180,0,0,563993,2458848,0,26444409,13416703,17322647,24022,5123,0.213262842394472,43244
"4100","OR","Oregon",103179,"41027",2021,"hood river county",19470077,13121064,698684,1450341,0,100144,139140685,25609341,29218651,23978,11558,0.482045293406181,70850
"4101","OR","Oregon",103179,"41027",2022,"hood river county",16167865,6672528,763453,4655544,0,251768,148702684,23031552,27209187,23978,11558,0.482045293406181,70850
"4102","KY","Kentucky",115719,"21005",2020,"anderson county",0,0,0,0,0,0,0,0,0,23851,13543,0.56779305718598,67773
"4103","TX","Texas",44983,"48007",2020,"aransas county",20397952,794479,0,1412746,0,0,0,30479511,32486824,23831,18212,0.764246747796895,55435
"4104","TX","Texas",44983,"48007",2021,"aransas county",33775731,1859886,0,1933129,0,0,0,34854968,38138911,23831,18212,0.764246747796895,55435
"4105","TX","Texas",44983,"48007",2022,"aransas county",35747874,0,0,9666199,3217682,0,105600575,34065460,41274903,23831,18212,0.764246747796895,55435
"4106","WV","West Virginia",130897,"54097",2020,"upshur county",4358530,569608,2291869,224210,0,0,0,10871079,11269421,23817,8547,0.358876385623111,49704
"4107","WV","West Virginia",130897,"54097",2021,"upshur county",7006964,1197975,1852484,2736060,0,0,0,9993830,12014685,23817,8547,0.358876385623111,49704
"4108","KY","Kentucky",400494,"21183",2020,"ohio county",0,0,0,0,0,0,0,12256959,12640606,23772,5658,0.238011105502272,55432
"4109","KY","Kentucky",400494,"21183",2021,"ohio county",0,0,0,0,0,0,0,12514755,15976885,23772,5658,0.238011105502272,55432
"4110","IL","Illinois",73842,"17165",2021,"saline county",0,0,0,0,0,0,17806581,14639539,20787614,23772,8283,0.348493773140357,50914
"4111","IL","Illinois",73842,"17165",2022,"saline county",0,910235,0,0,682618,0,22040988,15185475,19419882,23772,8283,0.348493773140357,50914
"4112","WI","Wisconsin",39841,"55049",2020,"iowa county",38451449,0,1353408,4974868,2411917,0,0,31657569,34940884,23709,4898,0.206588215445611,73294
"4113","WI","Wisconsin",39841,"55049",2021,"iowa county",37472046,0,1685941,4495739,4662384,0,0,34531750,40245025,23709,4898,0.206588215445611,73294
"4114","WI","Wisconsin",39841,"55049",2022,"iowa county",43437717,0,2163675,6834588,5962319,0,163889952,34726779,42994316,23709,4898,0.206588215445611,73294
"4115","VA","Virginia",230398,"51139",2020,"page county",72058973,3107343,2782687,6505427,0,0,0,38790887,40810201,23708,4742,0.200008435615167,53449
"4116","VA","Virginia",230398,"51139",2021,"page county",78068541,87670,2865321,6546314,0,0,0,43670836,50705697,23708,4742,0.200008435615167,53449
"4117","VA","Virginia",230398,"51139",2022,"page county",78086015,0,2981209,8077302,1417613,0,98502543,48853253,51393738,23708,4742,0.200008435615167,53449
"4118","WV","West Virginia",130885,"54059",2020,"mingo county",2376659,611493,1084951,225613,0,0,0,7788735,8632581,23574,0,0,33416
"4119","WV","West Virginia",130885,"54059",2021,"mingo county",2157418,1246966,287695,246142,0,0,0,7011862,7885042,23574,0,0,33416
"4120","WV","West Virginia",130885,"54059",2022,"mingo county",619623,0,0,210034,1240296,19747,17171077,7000039,10000789,23574,0,0,33416
"4121","OK","Oklahoma",125456,"40133",2020,"seminole county",0,0,0,0,0,0,0,11438988,10952178,23562,6283,0.266726099507556,42053
"4122","TN","Tennessee",153666,"47057",2020,"grainger county",21374040,0,5749917,419685,1431529,0,0,13425368,16267066,23527,3663,0.155693458579504,46983
"4123","TN","Tennessee",153666,"47057",2021,"grainger county",22233284,0,0,2972542,1770006,0,0,13953357,18557247,23527,3663,0.155693458579504,46983
"4124","TN","Tennessee",153666,"47057",2022,"grainger county",21232722,0,0,4475993,3763943,0,39110850,14153508,18776832,23527,3663,0.155693458579504,46983
"4125","LA","Louisiana",1266536,"22075",2020,"plaquemines parish",232787918,9378965,86089590,26769114,0,0,0,103608110,96974537,23515,15711,0.668126727620668,68765
"4126","LA","Louisiana",1266536,"22075",2021,"plaquemines parish",230669905,4610442,84678518,34681971,4642563,0,0,95957762,86611265,23515,15711,0.668126727620668,68765
"4127","LA","Louisiana",1266536,"22075",2022,"plaquemines parish",191459773,9589226,48286537,29374885,11034026,0,847857198,114744356,248907409,23515,15711,0.668126727620668,68765
"4128","MO","Missouri",90258,"29221",2020,"washington county",0,0,0,0,0,0,0,14780532,15747586,23514,0,0,44063
"4129","MO","Missouri",90258,"29221",2021,"washington county",0,0,0,0,0,0,0,13146757,14921637,23514,0,0,44063
"4130","MI","Michigan",79743,"26109",2020,"menominee county",11281561,10136488,0,399557,0,0,0,13756562,13643783,23500,8656,0.368309080078291,57421
"4131","MI","Michigan",79743,"26109",2021,"menominee county",13856815,10338090,0,2873395,0,0,0,13906184,14550106,23500,8656,0.368309080078291,57421
"4132","MI","Michigan",79743,"26109",2022,"menominee county",11946331,9312487,0,1912833,0,0,28582165,15107569,17712106,23500,8656,0.368309080078291,57421
"4133","PA","Pennsylvania",37715,"42067",2020,"juniata county",727007,2112802,0,17480,0,0,0,14349740,14985374,23496,0,0,55279
"4134","PA","Pennsylvania",37715,"42067",2021,"juniata county",363159,1490196,0,43302,0,0,0,15208792,17705000,23496,0,0,55279
