"","state.abb","name_census","population","geo_id","source_year","state.name","name","government_id","id","nces_district_id","year","category","identifier","current_assets","net_pension_assets","non_current_assets","net_opeb_assets","total_assets","net_pension_liability","net_opeb_liability","current_portion_long_term_liabilities","compensated_absences","current_liabilities","total_liabilities","bonds_outstanding","loans_outstanding","notes_outstanding","total_net_position_governmental","total_net_position_business","total_net_position","unrestricted","expenses","charges_for_services","operating_grants","capital_grants","general_revenue","activities_change_in_net_position","cash","receivables","revenues","name_midfile","flg_acfr","flg_muni","flg_county"
"110","TX","frisco city",200536,"4827684","2023","Texas","frisco","44204300600000",43459,NA,2023,"General Purpose","TX Frisco 2023",1077573715,NA,2637395882,NA,3714969597,64386756,3437960,81807868,29986941,172652650,1272436028,1079562899,NA,NA,1870847152,577067703,2447914855,232346216,542705652,206477351,7746139,275758325,375878159,323154322,382262282,87317575,865859974,"city of frisco",1,1,0
"111","TX","amarillo city",200377,"4803000","2023","Texas","amarillo","44218800100000",38704,NA,2023,"General Purpose","TX Amarillo 2023",366208815,NA,1656832763,NA,2023041578,87394266,46418174,45588585,25235155,114711334,818142615,559691968,NA,NA,573362252,678845588,1252207840,167576045,379736646,178143726,37727889,30311138,205448024,71894130,195318996,41832936,451630777,"city of amarillo",1,1,0
"112","UT","salt lake city city",199711,"4967000","2023","Utah","salt lake ","45201800500000",41176,NA,2023,"General Purpose","UT Salt Lake City 2023",1502113290,32243802,7207699625,NA,8709812915,83780501,NA,94245720,37494867,356682206,4628563548,4107626659,13267190,33085981,1069896595,2723708766,3793605361,362485730,1045577002,672158999,64853105,137973668,417241051,246649819,899865315,262939301,1292226823,"city of salt lake city",1,1,0
"113","MI","grand rapids city",198893,"2634000","2023","Michigan","grand rapids","23204100400000",167745,NA,2023,"General Purpose","MI Grand Rapids 2023",614634504,NA,1261155501,1116424,1875790005,335042077,13373866,44200494,19455922,176561540,1022352833,484969454,NA,NA,292208833,625586946,917795779,94443705,423497413,194189592,57731879,4905195,217707141,51036394,505783233,60142760,474533807,"city of grand rapids",1,1,0
"114","CA","huntington beach city",198723,"0636000","2023","California","huntington beach","05203000900000",31824,NA,2023,"General Purpose","CA Huntington Beach 2023",451448000,NA,915645000,2024000,1367093000,160758000,NA,42433000,16644000,73570000,664520000,363645000,3080000,NA,636581000,199478000,836059000,-136350000,361502000,157795000,43005000,11202000,230821000,81321000,380982000,39888000,442823000,"city of huntington beach",1,1,0
"115","KS","overland park city",197249,"2053775","2023","Kansas","overland park","17204650100000",114572,NA,2023,"General Purpose","KS Overland Park 2023",387448045,NA,1194151420,NA,1581599465,112332279,10419519,24182918,8837047,61795167,374935093,199652048,NA,NA,1198385772,-24969900,1173415872,124392733,287291624,72377486,14277847,14823005,241987417,56174131,267396856,106597912,343465755,"city of overland park",1,1,0
"116","CA","glendale city",196534,"0630000","2023","California","glendale","05201901700000",40789,NA,2023,"General Purpose","CA Glendale 2023",1268051000,NA,1593271000,NA,2861322000,676650000,12427000,35533000,32426000,143834000,1221483000,221241000,NA,NA,1099610000,692433000,1792043000,152881000,795432000,455059000,144563000,23193000,232527000,59910000,804884000,103379000,855342000,"city of glendale",1,1,0
"117","FL","tallahassee city",196171,"1270600","2023","Florida","tallahassee","10203700100000",32302,NA,2023,"General Purpose","FL Tallahassee 2023",704823000,NA,2533833000,NA,3238656000,184733000,62266000,68704000,27861000,191359000,1333433000,893934000,3233000,10170000,627485000,1312811000,1940296000,-24789000,825225000,637040000,44453000,41767000,168066000,66101000,177043000,130707000,891326000,"city of tallahassee",1,1,0
"118","TX","grand prairie city",196138,"4830464","2023","Texas","grand prairie","44205701300000",1266572,NA,2023,"General Purpose","TX Grand Prairie 2023",539821496,NA,1104038610,NA,1643860106,53635692,61511924,60991356,25775000,131583567,859567110,627969441,NA,NA,461775673,367558517,829334190,136393196,435188117,188985894,53872349,40872410,273810337,122352873,114647432,41347277,557540990,"city of grand prairie",1,1,0
"119","TX","mckinney city",195326,"4845744","2023","Texas","mckinney","44204300800000",46697,NA,2023,"General Purpose","TX Mckinney 2023",879362606,NA,1701824792,NA,2581187398,78116291,18111223,57204624,19459945,146947504,872064601,661109093,NA,NA,952193267,775570601,1727763868,241974960,427229496,207858596,6286819,205442111,257638537,249996567,190985327,45590239,677226063,"city of mckinney",1,1,0
