"","state.abb","state.name","id","geo_id","year","name","total_liabilities","current_liabilities","net_pension_liability","net_pension_assets","net_opeb_liability","net_opeb_assets","total_assets","current_assets","compensated_absences","expenses","revenues","population","urban_pop","pct_urban_pop","median_hh_income_21"
"113","GA","Georgia",1265711,"13000",2022,"georgia",40723358000,15133639000,3680849000,236197000,5284431000,552364000,87837882000,42437008000,728599000,65650334000,77881358000,10711937,7933986,74.0669729426354,66507
"114","KS","Kansas",33447,"20000",2022,"kansas",10127943000,3327238000,1688067000,0,51820000,0,26284361000,10132140000,117062000,21094701000,23645197000,2937847,2124059,72.2990387626452,64128
"115","FL","Florida",32221,"12000",2022,"florida",61828638000,11499144000,3506978000,0,7283350000,0,204321276000,10258964000,811959000,107066144000,132913030000,21538226,19714806,91.534194591216,63054
"116","KY","Kentucky",90208,"21000",2022,"kentucky",38790928000,3063688000,25034578000,0,2761751000,0,41179616000,11046129000,275672000,32938645000,41145939000,4505893,2644856,58.6984524070561,55532
"117","MD","Maryland",149463,"24000",2022,"maryland",60368151000,8761664000,13366859000,0,13434828000,0,69053742000,48636608000,413728000,55790349000,66355161000,6177213,5288760,85.6170992018421,90129
"118","ND","North Dakota",1241002,"38000",2022,"north dakota",9629813391,5106600721,535009808,31759726,28401715,0,40117070762,6023232465,91822000,9571845154,10069386442,779091,474989,60.9668409716928,67603
"119","IL","Illinois",1267369,"17000",2022,"illinois",247942779000,26518751000,139846404000,0,46611408000,0,76209709000,45363713000,440683000,104891623000,122045622000,12812545,11137590,86.9274774306482,72215
"120","MI","Michigan",80814,"26000",2022,"michigan",35770264000,8107624000,4680400000,0,5539800000,0,71294762000,42575463000,443400000,76703213000,87300038000,10077325,7404258,73.4743951548282,63444
"121","NC","North Carolina",40620,"37000",2022,"north carolina",31504536000,12160266000,1502331000,31046000,6397613000,3354000,109276007000,39435502000,598458000,68227210000,79555030000,10439414,6964727,66.7158553738974,61997
"122","MN","Minnesota",34704,"27000",2022,"minnesota",22917985000,8517624000,1692383000,0,721365000,0,60650937000,37335704000,567430000,51379767000,62108831000,5706504,4101754,71.878705208487,77712
"123","NJ","New Jersey",40624,"34000",2022,"new jersey",224574201619,12009053193,75075280124,1609824,88854449562,0,75792318349,43336250589,627200000,82409829204,97350659517,9289031,8708779,93.7537369493403,89227
"124","MO","Missouri",148599,"29000",2022,"missouri",20075010000,5126640000,6458736000,0,3177080000,0,57445965000,22741111000,198906000,33533714000,38527813000,6154920,4275663,69.4674806938782,61815
"125","NV","Nevada",35504,"32000",2022,"nevada",11951377000,5596195000,1517054000,0,912584000,0,25409855000,11184236000,117552000,18913683000,21329663000,3104624,2921203,94.0923090599991,66194
"126","OK","Oklahoma",37320,"40000",2022,"oklahoma",9140042000,5139232000,75425000,1087517000,157594000,104422000,38667150000,17033001000,190316000,26823206000,30489530000,3959346,2558611,64.6219470706451,55829
"127","MT","Montana",64951,"30000",2022,"montana",4907686000,2078098000,1926586000,59202000,120548000,0,18193420000,6940337000,0,8019855000,9695767000,1084197,579177,53.4185247527035,63357
"128","OH","Ohio",36835,"39000",2022,"ohio",53399275000,17360425000,2200534000,0,380714000,0,96693208000,41886308000,626690000,84391716000,92740138000,11799374,9001099,76.2840685428674,62286
