"","state","name","id","ncesID","state.abb","enrollment_20","enrollment_21","enrollment_22","government_level"
"2933","OH","Teays Valley Local School District","37214","3904909","OH",4124,4042,4240,"school district"
"2934","OH","Tri-Valley Local School District","37206","3904887","OH",3001,2931,2940,"school district"
"2935","OH","Western Local School District","37219","3904915","OH",727,709,688,"school district"
"2936","OH","Valley Local School District","37246","3904964","OH",1070,1035,1013,"school district"
"2937","OH","Garaway Local School District","37283","3905027","OH",1228,1140,1083,"school district"
"2938","OH","Howland Local School District","37275","3905016","OH",2533,2449,2471,"school district"
"2939","OH","Kings Local School District","37295","3905043","OH",4942,4807,4867,"school district"
"2940","OH","Labrae Local School District","37281","3905024","OH",1076,1001,1001,"school district"
"2941","OH","Lebanon City School District","37296","3904421","OH",5526,5293,5376,"school district"
"2942","OH","Warren City School District","37280","3904499","OH",4748,4416,4691,"school district"
"2943","OH","Orrville City School District","37305","3904461","OH",1674,1553,1503,"school district"
"2944","OH","Wooster City School District","37308","3910032","OH",3427,3273,3375,"school district"
"2945","OH","Niles City School District","37279","3904449","OH",2178,2028,2006,"school district"
"2946","OH","Marietta City School District","37301","3910019","OH",2441,2235,2255,"school district"
"2947","ID","Lapwai School District No. 341","32738","1601830","ID",519,484,517,"school district"
"2948","NE","Kimball Public Schools","109236","3172570","NE",403,397,398,"school district"
"2949","CA","Kingsburg Joint Union High School District","196399","0619830","CA",1183,1191,1219,"school district"
"2950","CA","Jurupa Unified School District","196397","0619260","CA",19089,18768,18618,"school district"
"2951","FL","Distict School Board of Lake County","196471","1201050","FL",44793,43706,45845,"school district"
"2952","GA","Mcduffie County Board of Education","70984","1303570","GA",3635,3477,3334,"school district"
"2953","GA","Dougherty County Board of Education","196513","1301830","GA",13882,13323,13049,"school district"
"2954","GA","Cook County Board of Education","196510","1301470","GA",3170,3129,3089,"school district"
"2955","GA","Floyd County Board of Education","196516","1302190","GA",9539,9261,8993,"school district"
"2956","GA","Dodge County Board of Education","196512","1301770","GA",3060,2955,2861,"school district"
"2957","GA","Burke County Board of Education","196507","1300660","GA",4255,4192,4098,"school district"
"2958","GA","Columbia County Board of Education","196496","1301410","GA",28248,28266,28683,"school district"
"2959","GA","Murray County Board of Education","196527","1303840","GA",7216,6886,6874,"school district"
"2960","FL","St. Johns County School District","196483","1201740","FL",43628,44550,48032,"school district"
"2961","TX","Corsicana Independent School District","39117","4815330","TX",6047,6059,6006,"school district"
"2962","GA","Pickens County Board of Education","196528","1304110","GA",4333,4193,4120,"school district"
"2963","GA","Meriwether County Board of Education","196525","1303630","GA",2480,2307,2369,"school district"
"2964","GA","Chattooga County Board of Education","196508","1301080","GA",2696,2606,2537,"school district"
"2965","IA","Clarksville Community School District","196545","1907440","IA",320,297,302,"school district"
"2966","GA","Monroe County Board of Education","196526","1303720","GA",4152,4188,4305,"school district"
"2967","GA","Jackson County Board of Education","196521","1302940","GA",8305,8512,9140,"school district"
"2968","GA","Berrien County Board of Education","196506","1300390","GA",3180,3017,2995,"school district"
"2969","GA","Putnam County Board of Education","196531","1304260","GA",3006,3022,2968,"school district"
"2970","GA","Stephens County Board of Education","196532","1304560","GA",3984,3931,3835,"school district"
"2971","GA","Thomaston-Upson County Board of Education","196533","1305280","GA",4144,4044,4049,"school district"
"2972","GA","Wayne County Board of Education","196535","1305550","GA",5373,5009,5101,"school district"
"2973","IL","Beardstown Community Unit School District No. 15","196559","1705310","IL",1527,1415,1433,"school district"
"2974","GA","City of Valdosta Board of Education","196534","1305310","GA",8427,8270,8294,"school district"
"2975","GA","Polk County School District","196530","1304200","GA",8054,7746,7854,"school district"
"2976","GA","Grady County Board of Education","196518","1302460","GA",4676,4537,4484,"school district"
"2977","OK","Independent School District No. 89 of Oklahoma County","190824","4022770","OK",35897,31026,32086,"school district"
"2978","IL","Monmouth-Roseville Community Unit School District No. 238","196577","1700320","IL",1605,1555,1588,"school district"
"2979","IL","Deerfield Public School District No. 109","196566","1711980","IL",2889,2781,2746,"school district"
"2980","IL","County of Winnebago School District No. 320","196564","1736600","IL",938,938,938,"school district"
"2981","IL","Pontiac Community Consolidated School District No. 429","196583","1732160","IL",1216,1165,1136,"school district"
"2982","IL","Rochester Community Unit School District No. 3A","196587","1734320","IL",2204,2096,2110,"school district"
"2983","MD","Baltimore City Public School System","44313","2400090","MD",79187,77856,77807,"school district"
"2984","IL","Carlinville Community Unit School District No. 1","196562","1708430","IL",1381,1313,1330,"school district"
"2985","IN","Metropolitan School District of Wayne Township","196704","1812810","IN",16915,16473,16343,"school district"
"2986","PA","Salisbury Township School District","400760","4220730","PA",1584,1530,1485,"school district"
"2987","OR","Nyssa School District No. 26","37655","4109000","OR",1212,1180,1186,"school district"
"2988","PA","Littlestown Area School District","37825","4213980","PA",1901,1821,1836,"school district"
"2989","PA","Moon Area School District","37836","4215830","PA",3953,3951,3995,"school district"
"2990","PA","Richland School District","37918","4220250","PA",1524,1473,1512,"school district"
"2991","PA","Shaler Area School District","37842","4221200","PA",4089,3928,3897,"school district"
"2992","PA","Upper Adams School District","37826","4224300","PA",1652,1649,1619,"school district"
"2993","PA","Wyalusing Area School District","37899","4226700","PA",1333,1291,1255,"school district"
"2994","PA","Apollo Ridge School District","37859","4202550","PA",1161,1138,1108,"school district"
