"","state.abb","state.name","id","geo_id","year","name","total_liabilities","current_liabilities","net_pension_liability","net_pension_assets","net_opeb_liability","net_opeb_assets","total_assets","current_assets","compensated_absences","expenses","revenues","population","median_hh_income_21"
"108","CA","California",31819,"0602000",2021,"anaheim",3305927000,216887000,834846000,0,160100000,0,5157247000,0,0,1208670000,1174924000,346825,81747
"109","CA","California",43912,"0603526",2021,"bakersfield",813093048,76830458,461426874,0,36512308,0,2943908516,0,21139007,554930812,712186757,404440,66666
"110","CA","California",31856,"0613392",2021,"chula vista",1006423881,68079182,351965194,0,26787344,0,2187021255,0,10969829,335053850,410553502,275500,91949
"111","CA","California",54175,"0667000",2021,"city and county of san francisco",36525105000,5527989000,5614021000,0,3811347000,0,45563110000,0,536939000,12585731000,13106808000,873959,121826
"112","NY","New York",36072,"3684000",2021,"yonkers",5070868554,271047115,120899468,0,3814099761,0,1363904409,0,53184393,1401217720,1276012068,211585,66395
"113","CA","California",96340,"0626000",2021,"fremont",687053116,31958426,409107867,0,81415258,0,1471705276,0,14210309,330097164,370266091,230493,155968
"114","CA","California",31759,"0627000",2021,"fresno",1615388000,263178000,0,93198000,152604000,0,4001009000,0,83908000,943597000,930547000,542252,61250
"115","CA","California",31829,"0636770",2021,"irvine",287944000,85360000,153978000,0,9488000,0,3260457000,0,18116000,375324000,345879000,307665,105774
"116","CA","California",31888,"0648354",2021,"modesto",924422665,135118423,364250642,0,30427400,0,2044122165,0,12275660,390341858,511326020,218467,70469
"117","CA","California",31838,"0649270",2021,"moreno valley",264594470,65890232,77591423,0,9047518,0,1344619672,0,7046757,216273007,261653899,208640,79840
"118","CA","California",31784,"0643000",2021,"long beach",4381212000,474323000,527875000,0,8785000,0,11142130000,0,225119000,1703438000,2135378000,466775,73905
"119","CA","California",149487,"0644000",2021,"los angeles",56315847000,3947445000,11279212000,0,2484602000,0,77307776000,0,1059539000,17338053000,18363558000,3898767,70372
"120","CA","California",31740,"0653000",2021,"oakland",4186217000,470545000,1801374000,0,842836000,0,3924277000,0,58115000,1323257000,1482442000,440660,82236
"121","OH","Ohio",36922,"3916000",2021,"cleveland",3850423000,590787000,786813000,0,77160000,35117000,6993492000,0,44267000,1299164000,1730123000,372632,35562
"122","CO","Colorado",31994,"0804000",2021,"aurora",1283387916,157150704,106801109,16282358,21037880,0,7496725991,0,43127748,739290244,1130543781,386324,71647
"123","CO","Colorado",31999,"0816000",2021,"colorado springs",3971629197,358382576,313149000,18791321,66775000,0,7963255000,0,41658000,1658232652,1929923126,479016,74579
"124","OH","Ohio",44337,"3918000",2021,"columbus",6954370000,347319000,1356638000,0,160591000,40802000,10530784000,0,123252000,1836343000,2400006000,905839,58202
"125","CA","California",31836,"0662000",2021,"riverside",2634527000,169564000,229566000,0,52276000,0,4540938000,0,42906000,966751000,987247000,315014,76558
"126","CA","California",42691,"0664000",2021,"sacramento",3159764000,191357000,1069704000,0,244249000,0,5432589000,0,51795000,1270924000,1404535000,524924,75311
"127","CA","California",31848,"0665000",2021,"san bernardino",764831424,81630898,473069693,0,4870958,0,1112173748,0,8342227,270287703,306944767,222068,65311
"128","CA","California",44032,"0666000",2021,"san diego",8481413000,732235000,3513674000,0,469975000,0,16116199000,0,97719000,3756065000,3719767000,1386960,93042
"129","OH","Ohio",36933,"3915000",2021,"cincinnati",3961053000,135140000,2305754000,0,74567000,63751000,4382173000,0,136395000,1497880000,1274444000,309561,42733
"130","CA","California",31826,"0669000",2021,"santa ana",1135383347,184478605,702444738,0,55210904,0,1819859436,0,30948115,574661213,622765158,310555,80265
"131","FL","Florida",96403,"1230000",2021,"hialeah",1108399492,108782575,301647421,3738042,471720312,0,691701635,0,35451582,380687365,343352532,223123,46674
"132","CA","California",31800,"0669088",2021,"santa clarita",221580825,41923993,34737777,0,0,12575778,1628380835,0,4454922,197556736,308533852,228679,109336
"133","FL","Florida",32292,"1235000",2021,"jacksonville",6696965000,408696000,3107155000,0,416420000,0,5384320000,0,133140000,2119364000,2076052000,949616,58621
"134","CA","California",31865,"0675000",2021,"stockton",1230233905,124293781,549631640,0,66315626,0,2713407306,0,14710071,504855874,619796500,320810,69844
"135","MI","Michigan",34317,"2622000",2021,"detroit",6418274433,910918244,2159574662,28023927,377348,0,6916347787,0,101291866,2312400836,2282921854,639115,36140
"136","FL","Florida",398462,"1245000",2021,"miami",3072883367,220635829,1034749059,0,958411935,0,1965193186,0,82659616,1227209415,1105091240,442260,48789
"137","FL","Florida",148141,"1253000",2021,"orlando",2074858241,379774984,290159850,0,353133200,0,4134674373,0,49403177,913483486,1011946309,307683,54167
"138","IA","Iowa",71073,"1921000",2021,"des moines",1054729050,91374421,213409053,0,22792325,0,2329944704,0,0,466484080,538210286,214125,60693
"139","FL","Florida",32314,"1263000",2021,"st petersburg",1459810343,88765560,115587405,16268755,256867376,0,2676871423,0,28634000,619869432,690300053,258356,64141
"140","FL","Florida",32297,"1271000",2021,"tampa",1566384797,150492379,209150745,0,75519951,0,4068917308,0,74949299,831831124,1082816382,384661,63404
"141","ID","Idaho",32682,"1608830",2021,"boise",224705000,77747000,0,101251000,15036000,0,1659467000,0,8683000,362551000,455259000,235712,70217
"142","GA","Georgia",42897,"1304000",2021,"atlanta",10740141000,524334000,1251025000,0,888700000,0,18697030000,0,36840000,2193181000,2469218000,498722,74107
"143","IN","Indiana",33221,"1825000",2021,"fort wayne",1548296927,79342071,199649351,32556786,171220196,0,3026407402,0,19914413,424637307,558699265,263914,54737
"144","OH","Ohio",98182,"3977000",2021,"toledo",1734470000,164999000,338517000,0,40350000,9475000,2786778000,0,40565000,457353000,587488000,270880,44150
"145","MA","Massachusetts",34032,"2507000",2021,"boston",6426387000,786957000,1406402000,0,2196724000,0,5173319000,0,257282000,4088575000,4145409000,675632,79283
"146","NY","New York",122258,"3651000",2021,"new york",283974857000,36958227000,9598353000,0,117979233000,0,126302000000,0,6372726000,94850713000,104175972000,8804194,67997
"147","MN","Minnesota",1036390,"2743000",2021,"minneapolis",1790197000,241108000,389858000,0,47213000,0,4502773000,0,46525000,976612000,1074341000,429985,69397
"148","MD","Maryland",33980,"2404000",2021,"baltimore",9542603000,1058738000,2164643000,0,527869000,0,12707997000,0,203137000,2998668000,3313989000,585693,54652
"149","MN","Minnesota",101973,"2758000",2021,"saint paul",1153669398,148264215,133080944,0,202134571,0,2608061375,0,20379522,618852724,680005747,311518,66098
"150","MO","Missouri",43771,"2938000",2021,"kansas city",6184292000,442597000,1093020000,0,93377000,0,10651146000,0,52431000,2025590000,1927054000,507971,63396
"151","NC","North Carolina",36710,"3728000",2021,"greensboro",1237340836,132626016,114198568,0,124450254,0,2361435980,0,8292297,526837868,554574152,299101,51825
