"","state.abb","state.name","id","geo_id","year","name","category","total_liabilities","current_liabilities","net_pension_liability","net_pension_assets","net_opeb_liability","net_opeb_assets","total_assets","current_assets","compensated_absences","expenses","revenues","unrestricted","bonds_outstanding","loans_outstanding","notes_outstanding","population","urban_pop","pct_urban_pop","median_hh_income_21","url"
"56","MI","Michigan",34282,"26125",2020,"oakland county","General Purpose",741376009,321853855,22497565,0,0,384338239,2364017653,0,16548221,824504475,970737618,0,358527575,0,0,1274395,1203765,0.944577623107435,86597,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/MI/Oakland%20County/MI%20Oakland%20County%202020.pdf"
"57","KS","Kansas",44652,"20091",2020,"johnson county","General Purpose",1383005817,84745526,251000703,0,23868678,0,2410454411,0,23438999,744069181,828285621,252430788,967409999,14781417,0,609864,585241,0.959626998194677,93220,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/KS/Johnson%20County/KS%20Johnson%20County%202020.pdf"
"58","KY","Kentucky",115965,"21111",2020,"jefferson county","General Purpose",2335363514,84027033,1158168356,0,295693343,0,2573461783,0,22025000,968529820,989561189,0,494297000,20000000,0,782956,770185,0.98367240593178,60636,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/KY/Jefferson%20County/KY%20Jefferson%20County%202020.pdf"
"59","MI","Michigan",40867,"26163",2020,"wayne county","General Purpose",1812948420,331168554,547323476,0,91675340,0,2851979979,0,22332762,776082084,1084737794,0,628294866,0,184930000,1793549,1777476,0.991031807672,52644,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/MI/Wayne%20Charter%20County/MI%20Wayne%20Charter%20County%202020.pdf"
"60","MO","Missouri",35114,"29095",2020,"jackson county","General Purpose",544917604,71189070,46067941,0,5636802,0,905671072,0,8465885,357086121,379903957,92176003,401917962,0,0,717206,686587,0.957310611764575,63282,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/MO/Jackson%20County/MO%20Jackson%20County%202020.pdf"
"61","TN","Tennessee",1267141,"47037",2020,"The Metropolitan Government of Nashville and Davidson County","General Purpose",10106765040,431000385,303734402,0,4261044596,0,9149662279,0,97051724,3182771804,2985439389,-4201043109,4340274238,24118692,625609379,1913459,113939.692307692,0.387457962217533,67918,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/TN/The%20Metropolitan%20Government%20of%20Nashville%20and%20Davidson%20County/TN%20The%20Metropolitan%20Government%20of%20Nashville%20and%20Davidson%20County%202020.pdf"
"62","MN","Minnesota",1266941,"27053",2020,"hennepin county","General Purpose",3494379106,473163198,839268166,0,145819803,0,4573737516,0,154141727,3473923249,3366383989,0,1857740095,0,2790460,1281568,1250960,0.976119041952613,84220,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/MN/Hennepin%20County/MN%20Hennepin%20County%202020.pdf"
"63","TN","Tennessee",1265440,"47157",2020,"shelby county","General Purpose",1845498562,185322233,571656496,0,0,18933000,1927169554,0,30558690,1310066504,1216535173,0,922216144,0,123200000,929722,898107,0.965972353680153,54931,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/TN/Shelby%20County/TN%20Shelby%20County%202020.pdf"
"64","NC","North Carolina",36607,"37119",2020,"mecklenburg county","General Purpose",2678783023,237829916,137831581,1320744,514883109,0,2869838238,0,36921453,1863619083,1869490833,-1382460863,1712044188,524560,0,1115526,1106063,0.991556116548721,75138,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/NC/Mecklenburg%20County/NC%20Mecklenburg%20County%202020.pdf"
"65","TX","Texas",38615,"48029",2020,"bexar county","General Purpose",3027051150,188401051,117083764,0,216578397,0,3227931573,0,50666275,874696720,869968776,-1231755898,1673669329,0,0,2009322,1914732,0.952923470779227,63014,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/TX/Bexar%20County/TX%20Bexar%20County%202020.pdf"
