ELSI Export

National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/

This is a District based table with the following filters applied: State(s) (All Years): All 50 + DC and outlying territories

Agency Name,State Name [District] Latest available year,State Abbr [District] Latest available year,Agency ID - NCES Assigned [District] Latest available year,Agency Type [District] 2020-21,Total Students All Grades (Excludes AE) [District] 2020-21,Full-Time Equivalent (FTE) Teachers [District] 2020-21,Total Revenue (TOTALREV) [District Finance] 2020-21,Total Revenue - Local Sources (TLOCREV) [District Finance] 2020-21,Total Revenue - State Sources (TSTREV) [District Finance] 2020-21,Total Revenue - Federal Sources (TFEDREV) [District Finance] 2020-21,Total Expenditures (TOTALEXP) [District Finance] 2020-21
HARDYSTON TOWNSHIP SCHOOL DISTRICT,New Jersey,NJ ,3406780,1-Regular local school district that is NOT a component of a supervisory union,593,57.01,15454000,11013000,4067000,374000,13679000
HARFORD COUNTY PUBLIC SCHOOLS,Maryland,MD ,2400390,1-Regular local school district that is NOT a component of a supervisory union,37333,2496.10,698617000,373847000,276027000,48743000,634126000
HARLAN COMM SCHOOL DISTRICT,Iowa,IA ,1913500,1-Regular local school district that is NOT a component of a supervisory union,1504,99.44,21881000,9117000,10608000,2156000,18650000
HARLAN COUNTY,Kentucky,KY ,2102540,1-Regular local school district that is NOT a component of a supervisory union,3780,254.53,54846000,7153000,35180000,12513000,54212000
HARLAN INDEPENDENT,Kentucky,KY ,2102520,1-Regular local school district that is NOT a component of a supervisory union,701,44.12,9829000,1435000,6125000,2269000,9704000
HARLANDALE ISD,Texas,TX ,4822470,1-Regular local school district that is NOT a component of a supervisory union,12522,953.06,171461000,32825000,110426000,28210000,175420000
HARLEM CHILDREN'S ZONE PROMISE ACADEMY CHARTER SCHOOL,New York,NY ,3600108,7-Independent Charter District,1165,75.29,0,0,0,0,26612000
HARLEM CHILDREN'S ZONE PROMISE ACADEMY II CHARTER SCHOOL,New York,NY ,3600140,7-Independent Charter District,1066,70.13,0,0,0,0,25531000
HARLEM ELEM,Montana,MT ,3013395,1-Regular local school district that is NOT a component of a supervisory union,453,38.00,7653000,1040000,2745000,3868000,7842000
HARLEM H S,Montana,MT ,3013400,1-Regular local school district that is NOT a component of a supervisory union,171,14.50,3490000,553000,1334000,1603000,3182000
HARLEM HEBREW LANGUAGE ACADEMY CHARTER SCHOOL,New York,NY ,3601097,7-Independent Charter District,505,10.25,0,0,0,0,12343000
HARLEM LINK CHARTER SCHOOL,New York,NY ,3600138,7-Independent Charter District,422,–,0,0,0,0,9473000
HARLEM PREP CHARTER SCHOOL,New York,NY ,3600068,7-Independent Charter District,1048,88.00,0,0,0,0,17467000
HARLEM UD 122,Illinois,IL ,1718240,1-Regular local school district that is NOT a component of a supervisory union,6324,–,119906000,51745000,59006000,9155000,113383000
HARLEM VILLAGE ACADEMY EAST CHARTER SCHOOL,New York,NY ,3600141,7-Independent Charter District,653,59.90,0,0,0,0,12394000
HARLEM VILLAGE ACADEMY WEST 2 CHARTER SCHOOL,NEW YORK,NY ,3601191,7-Independent Charter District,131,11.50,0,0,0,0,2863000
HARLEM VILLAGE ACADEMY WEST CHARTER SCHOOL,New York,NY ,3600080,7-Independent Charter District,827,67.75,0,0,0,0,17579000
HARLETON ISD,Texas,TX ,4822500,1-Regular local school district that is NOT a component of a supervisory union,714,64.98,10181000,2413000,6997000,771000,8911000
HARLINGEN CISD,Texas,TX ,4822530,1-Regular local school district that is NOT a component of a supervisory union,17882,1241.85,235397000,52025000,143970000,39402000,231514000
HARLOWTON K-12,Montana,MT ,3013470,1-Regular local school district that is NOT a component of a supervisory union,275,27.03,4926000,2427000,1583000,916000,5128000
HARMONY,Oklahoma,OK ,4013830,1-Regular local school district that is NOT a component of a supervisory union,217,12.47,2439000,393000,1589000,457000,2367000
HARMONY AREA SD,Pennsylvania,PA ,4211520,1-Regular local school district that is NOT a component of a supervisory union,248,39.80,6989000,1338000,4723000,928000,6110000
HARMONY DC PCS,DISTRICT OF COLUMBIA,DC ,1100096,7-Independent Charter District,114,11.50,4934000,4102000,0,832000,3651000
HARMONY EMGE SD 175,Illinois,IL ,1714220,1-Regular local school district that is NOT a component of a supervisory union,781,–,15653000,7086000,7502000,1065000,13399000
HARMONY GROVE SCHOOL DISTRICT,Arkansas,AR ,0507290,1-Regular local school district that is NOT a component of a supervisory union,940,99.52,11361000,2556000,6818000,1987000,10766000
HARMONY GROVE SCHOOL DISTRICT,Arkansas,AR ,0507320,1-Regular local school district that is NOT a component of a supervisory union,1235,96.24,13947000,3253000,9566000,1128000,17915000
HARMONY ISD,Texas,TX ,4822560,1-Regular local school district that is NOT a component of a supervisory union,1025,90.53,13586000,5338000,7211000,1037000,12745000
HARMONY PUBLIC SCHOOLS,Maine,ME ,2306330,1-Regular local school district that is NOT a component of a supervisory union,67,5.89,1632000,548000,835000,249000,1576000
HARMONY PUBLIC SCHOOLS - CENTRAL TEXAS,Texas,TX ,4800241,7-Independent Charter District,4517,270.38,51197000,627000,46490000,4080000,43184000
HARMONY PUBLIC SCHOOLS - HOUSTON NORTH,Texas,TX ,4800274,7-Independent Charter District,5987,355.71,70705000,1058000,63227000,6420000,57587000
HARMONY PUBLIC SCHOOLS - HOUSTON SOUTH,Texas,TX ,4800210,7-Independent Charter District,3677,227.62,48843000,1934000,41657000,5252000,38442000
HARMONY PUBLIC SCHOOLS - HOUSTON WEST,Texas,TX ,4801405,7-Independent Charter District,3992,242.87,46498000,1211000,41446000,3841000,38200000
HARMONY PUBLIC SCHOOLS - NORTH TEXAS,Texas,TX ,4800292,7-Independent Charter District,10074,592.40,119472000,3310000,106718000,9444000,95102000
HARMONY PUBLIC SCHOOLS - SOUTH TEXAS,Texas,TX ,4800266,7-Independent Charter District,4436,297.40,56661000,693000,49661000,6307000,48815000
HARMONY PUBLIC SCHOOLS - WEST TEXAS,Texas,TX ,4800272,7-Independent Charter District,4141,260.50,50002000,317000,43879000,5806000,43677000
HARMONY TOWNSHIP SCHOOL DISTRICT,New Jersey,NJ ,3406810,1-Regular local school district that is NOT a component of a supervisory union,209,30.00,7966000,6321000,1380000,265000,7862000
HARMONY UNION ELEMENTARY,California,CA ,0616620,1-Regular local school district that is NOT a component of a supervisory union,200,13.00,7215000,3289000,3584000,342000,7322000
HARNETT COUNTY SCHOOLS,North Carolina,NC ,3702010,1-Regular local school district that is NOT a component of a supervisory union,19470,1250.93,190756000,26773000,140925000,23058000,193700000
HARNEY COUNTY SD 3,Oregon,OR ,4102490,1-Regular local school district that is NOT a component of a supervisory union,745,51.79,12619000,2991000,8351000,1277000,11969000
HARNEY COUNTY SD 4,Oregon,OR ,4103600,1-Regular local school district that is NOT a component of a supervisory union,785,32.37,8516000,362000,7775000,379000,2896000
HARNEY COUNTY UNION HIGH SD 1J,Oregon,OR ,4103630,1-Regular local school district that is NOT a component of a supervisory union,1110,36.59,12163000,790000,10900000,473000,16554000
HARNEY ESD REGION XVII,Oregon,OR ,4100028,4-Regional Education Service Agency (RESA),0,0.00,4753000,1719000,2507000,527000,4011000
HARPER CREEK COMMUNITY SCHOOLS,Michigan,MI ,2617730,1-Regular local school district that is NOT a component of a supervisory union,2710,162.22,37297000,11159000,23419000,2719000,33611000
HARPER ISD,Texas,TX ,4822590,1-Regular local school district that is NOT a component of a supervisory union,554,49.64,7287000,5179000,1760000,348000,6732000
HARPER SD 66,Oregon,OR ,4106120,7-Independent Charter District,179,9.50,3634000,161000,3138000,335000,2902000
HARPER WOODS THE SCHOOL DISTRICT OF THE CITY OF,Michigan,MI ,2617760,1-Regular local school district that is NOT a component of a supervisory union,2322,115.10,36866000,4939000,27982000,3945000,28695000
HARPSWELL COASTAL ACADEMY,Maine,ME ,2314816,7-Independent Charter District,175,14.00,1123000,49000,426000,648000,3221000
HARPURSVILLE CENTRAL SCHOOL DISTRICT,New York,NY ,3613710,1-Regular local school district that is NOT a component of a supervisory union,673,65.01,21652000,4356000,15657000,1639000,25499000
HARRAH,Oklahoma,OK ,4013890,1-Regular local school district that is NOT a component of a supervisory union,1950,126.37,19838000,6945000,10666000,2227000,21068000
HARRIET TUBMAN CHARTER SCHOOL,New York,NY ,3600048,7-Independent Charter District,643,22.14,0,0,0,0,10395000
HARRIET TUBMAN CHARTER SCHOOL,LOUISIANA,LA ,2200220,7-Independent Charter District,891,43.00,14161000,7278000,4290000,2593000,13572000
HARRIET TUBMAN VILLAGE CHARTER DISTRICT,CALIFORNIA,CA ,0601817,7-Independent Charter District,414,17.00,5796000,3156000,1723000,917000,5395000
HARRINGTON PARK SCHOOL DISTRICT,New Jersey,NJ ,3406840,1-Regular local school district that is NOT a component of a supervisory union,589,56.69,16622000,13181000,3145000,296000,16099000
HARRINGTON SCHOOL DISTRICT,Washington,WA ,5303360,1-Regular local school district that is NOT a component of a supervisory union,146,13.87,3447000,378000,2818000,251000,4986000
HARRIS COUNTY,Georgia,GA ,1302700,1-Regular local school district that is NOT a component of a supervisory union,5486,340.30,78414000,34510000,37933000,5971000,90654000
HARRIS COUNTY DEPT OF ED,Texas,TX ,4800261,1-Regular local school district that is NOT a component of a supervisory union,0,0.00,–,–,–,–,–
HARRIS-LAKE PARK COMM SCHOOL DISTRICT,Iowa,IA ,1916140,1-Regular local school district that is NOT a component of a supervisory union,345,25.95,5034000,3276000,1437000,321000,3819000
HARRISBURG CITY SD,Pennsylvania,PA ,4211580,1-Regular local school district that is NOT a component of a supervisory union,6471,488.00,155466000,56523000,81079000,17864000,150113000
HARRISBURG CUSD 3,Illinois,IL ,1718270,1-Regular local school district that is NOT a component of a supervisory union,1794,–,–,–,–,–,–
HARRISBURG R-VIII,Missouri,MO ,2913710,1-Regular local school district that is NOT a component of a supervisory union,600,43.80,7337000,3644000,2735000,958000,6347000
HARRISBURG SCHOOL DISTRICT,Arkansas,AR ,0507350,1-Regular local school district that is NOT a component of a supervisory union,1099,100.36,15928000,5721000,7120000,3087000,15326000
HARRISBURG SCHOOL DISTRICT 41-2,South Dakota,SD ,4631350,1-Regular local school district that is NOT a component of a supervisory union,5457,386.14,75422000,43707000,24038000,7677000,73570000
HARRISBURG SD 7J,Oregon,OR ,4100019,1-Regular local school district that is NOT a component of a supervisory union,712,47.79,12550000,3078000,8144000,1328000,12924000
HARRISON CENTRAL SCHOOL DISTRICT,New York,NY ,3613740,1-Regular local school district that is NOT a component of a supervisory union,3624,347.33,124094000,113703000,7665000,2726000,129825000
HARRISON CO SCHOOL DIST,Mississippi,MS ,2801770,1-Regular local school district that is NOT a component of a supervisory union,13666,853.98,174182000,64108000,73332000,36742000,186065000
HARRISON COMMUNITY SCHOOLS,Michigan,MI ,2617820,1-Regular local school district that is NOT a component of a supervisory union,1270,68.90,20084000,7239000,8839000,4006000,18215000
HARRISON COUNTY,Kentucky,KY ,2102580,1-Regular local school district that is NOT a component of a supervisory union,2839,172.53,36933000,7798000,20990000,8145000,35999000
HARRISON COUNTY SCHOOLS,West Virginia,WV ,5400510,1-Regular local school district that is NOT a component of a supervisory union,10111,790.26,154217000,60551000,74188000,19478000,146112000
HARRISON HILLS CITY,Ohio,OH ,3904524,1-Regular local school district that is NOT a component of a supervisory union,1456,75.17,37347000,23992000,11128000,2227000,28757000
HARRISON K-12 SCHOOLS,Montana,MT ,3013530,1-Regular local school district that is NOT a component of a supervisory union,96,12.42,2125000,1183000,799000,143000,1751000
HARRISON PUBLIC SCHOOLS,New Jersey,NJ ,3406870,1-Regular local school district that is NOT a component of a supervisory union,2295,168.50,57928000,13097000,40319000,4512000,55905000
HARRISON SCHOOL DISTRICT,Arkansas,AR ,0507380,1-Regular local school district that is NOT a component of a supervisory union,2706,243.55,33615000,14824000,13764000,5027000,31537000
HARRISON SCHOOL DISTRICT NO. 2 IN THE COUNTY OF EL PASO AN,Colorado,CO ,0804530,1-Regular local school district that is NOT a component of a supervisory union,11177,739.34,164845000,44450000,95834000,24561000,189067000
HARRISON SD 36,Illinois,IL ,1718360,1-Regular local school district that is NOT a component of a supervisory union,376,–,8442000,3649000,4237000,556000,7808000
HARRISON TOWNSHIP SCHOOL DISTRICT,New Jersey,NJ ,3406900,1-Regular local school district that is NOT a component of a supervisory union,1312,111.60,25561000,14245000,10375000,941000,24045000
HARRISONBURG CITY PUBLIC SCHOOLS,Virginia,VA ,5101860,1-Regular local school district that is NOT a component of a supervisory union,6505,452.92,99607000,39535000,48743000,11329000,93696000
HARRISONVILLE R-IX,Missouri,MO ,2913760,1-Regular local school district that is NOT a component of a supervisory union,2277,176.13,37182000,23280000,9136000,4766000,31594000
HARRISVILLE CENTRAL SCHOOL DISTRICT,New York,NY ,3613770,1-Regular local school district that is NOT a component of a supervisory union,341,33.00,10867000,3793000,6514000,560000,11684000
HARRISVILLE SCHOOL DISTRICT,New Hampshire,NH ,3303630,2-Local school district that is a component of a supervisory union,63,4.70,1950000,1464000,397000,89000,1911000
HARROLD ISD,Texas,TX ,4822620,1-Regular local school district that is NOT a component of a supervisory union,107,14.20,2775000,1588000,1021000,166000,2332000
HART COUNTY,Kentucky,KY ,2102640,1-Regular local school district that is NOT a component of a supervisory union,2277,156.00,35151000,7292000,22943000,4916000,31549000
HART COUNTY,Georgia,GA ,1302730,1-Regular local school district that is NOT a component of a supervisory union,3492,231.70,48434000,22076000,20748000,5610000,45661000
HART ISD,Texas,TX ,4822650,1-Regular local school district that is NOT a component of a supervisory union,212,19.84,4023000,1068000,2445000,510000,4052000
HART PUBLIC SCHOOL DISTRICT,Michigan,MI ,2617860,1-Regular local school district that is NOT a component of a supervisory union,1232,80.72,18227000,5925000,9070000,3232000,16194000
HART ROP,California,CA ,0600111,9-Specialized public school district,0,–,–,–,–,–,–
HART'S LOCATION SCHOOL DISTRICT,New Hampshire,NH ,3303640,2-Local school district that is a component of a supervisory union,†,†,115000,79000,33000,3000,149000
HART-RANSOM UNION ELEMENTARY,California,CA ,0616650,1-Regular local school district that is NOT a component of a supervisory union,1208,54.66,14473000,2480000,11067000,926000,13996000
HARTFORD CENTRAL SCHOOL DISTRICT,New York,NY ,3613830,1-Regular local school district that is NOT a component of a supervisory union,408,47.84,13075000,3434000,8861000,780000,11491000
HARTFORD J1 SCHOOL DISTRICT,Wisconsin,WI ,5506090,1-Regular local school district that is NOT a component of a supervisory union,1592,110.85,28319000,11761000,14843000,1715000,25229000
HARTFORD PUBLIC SCHOOLS,Michigan,MI ,2617880,1-Regular local school district that is NOT a component of a supervisory union,1334,70.95,17844000,2904000,12141000,2799000,15679000
HARTFORD SCHOOL DISTRICT,Connecticut,CT ,0901920,1-Regular local school district that is NOT a component of a supervisory union,17054,1284.20,534694000,87024000,387354000,60316000,532335000
HARTFORD SCHOOL DISTRICT,Vermont,VT ,5004590,2-Local school district that is a component of a supervisory union,1441,167.76,44357000,8658000,32575000,3124000,43046000
HARTFORD SUPERVISORY DISTRICT,Vermont,VT ,5099954,3-Supervisory union administrative center (or county superintendent's office serving the same purpose),†,12.50,†,†,†,†,†
HARTFORD UHS SCHOOL DISTRICT,Wisconsin,WI ,5506120,1-Regular local school district that is NOT a component of a supervisory union,1340,83.68,22110000,12835000,8096000,1179000,23809000
HARTINGTON NEWCASTLE PUBLIC SCHOOLS,Nebraska,NE ,3171520,1-Regular local school district that is NOT a component of a supervisory union,384,37.42,7576000,5694000,1359000,523000,7311000
HARTLAND CONSOLIDATED SCHOOLS,Michigan,MI ,2617910,1-Regular local school district that is NOT a component of a supervisory union,5262,282.46,78581000,27074000,46631000,4876000,64716000
HARTLAND SCHOOL DISTRICT,Vermont,VT ,5004620,2-Local school district that is a component of a supervisory union,318,27.06,8986000,6000,8885000,95000,9058000
HARTLAND SCHOOL DISTRICT,Connecticut,CT ,0901950,1-Regular local school district that is NOT a component of a supervisory union,145,16.00,6341000,4414000,1818000,109000,6338000
HARTLAND-LAKESIDE J3 SCHOOL DISTRICT,Wisconsin,WI ,5506140,1-Regular local school district that is NOT a component of a supervisory union,1102,78.66,17001000,9614000,6594000,793000,16388000
HARTLEY ISD,Texas,TX ,4822680,1-Regular local school district that is NOT a component of a supervisory union,236,20.51,3967000,2439000,1290000,238000,3201000
HARTLEY-MELVIN-SANBORN COMM SCHOOL DISTRICT,Iowa,IA ,1913660,1-Regular local school district that is NOT a component of a supervisory union,616,54.46,11871000,6763000,4070000,1038000,21282000
HARTS BLUFF ISD,Texas,TX ,4822710,1-Regular local school district that is NOT a component of a supervisory union,700,56.81,9971000,1866000,6752000,1353000,9894000
HARTSBURG EMDEN CUSD 21,Illinois,IL ,1718390,1-Regular local school district that is NOT a component of a supervisory union,178,–,4363000,2498000,1616000,249000,4260000
HARTSELLE CITY,Alabama,AL ,0101730,1-Regular local school district that is NOT a component of a supervisory union,3546,217.33,47210000,14190000,28121000,4899000,42449000
HARTSHORNE,Oklahoma,OK ,4013920,1-Regular local school district that is NOT a component of a supervisory union,713,47.30,9205000,1918000,4730000,2557000,9180000
HARTVILLE R-II,Missouri,MO ,2913770,1-Regular local school district that is NOT a component of a supervisory union,685,56.69,7633000,2276000,3574000,1783000,7305000
HARVARD,Massachusetts,MA ,2505880,1-Regular local school district that is NOT a component of a supervisory union,1006,92.00,34261000,21340000,12019000,902000,25887000
HARVARD AVENUE PERFORMANCE ACADEMY,Ohio,OH ,3900641,7-Independent Charter District,373,34.12,4255000,0,3288000,967000,4230000
HARVARD CUSD 50,Illinois,IL ,1718420,1-Regular local school district that is NOT a component of a supervisory union,2584,–,48237000,16973000,27257000,4007000,43676000
HARVARD PUBLIC SCHOOLS,Nebraska,NE ,3171550,1-Regular local school district that is NOT a component of a supervisory union,248,26.78,5290000,3578000,1173000,539000,5087000
HARVEST POWER COMMUNITY DEVELOPMENT GROUP INC. (79501),Arizona,AZ ,0400282,7-Independent Charter District,1685,–,16545000,192000,13374000,2979000,16541000
HARVEST RIDGE COOPERATIVE CHARTER DISTRICT,CALIFORNIA,CA ,0602216,7-Independent Charter District,179,7.76,1879000,132000,1545000,202000,1862000
HARVEY 38,North Dakota,ND ,3808890,1-Regular local school district that is NOT a component of a supervisory union,365,33.63,6267000,1834000,3507000,926000,6046000
HARVEY CO. SP. ED. COOP.,KANSAS,KS ,2000358,4-Regional Education Service Agency (RESA),0,0.00,†,†,†,†,†
HARVEY SD 152,Illinois,IL ,1718450,1-Regular local school district that is NOT a component of a supervisory union,1687,–,32175000,4750000,22955000,4470000,29890000
HARWOOD UNIFIED UNION SCHOOL DISTRICT #60,VERMONT,VT ,5000403,2-Local school district that is a component of a supervisory union,1813,173.24,44005000,659000,40446000,2900000,43359000
HARWOOD UNIFIED UNION SUPERVISORY DISTRICT,Vermont,VT ,5099942,3-Supervisory union administrative center (or county superintendent's office serving the same purpose),†,†,†,†,†,†,†
HASBROUCK HEIGHTS SCHOOL DISTRICT,New Jersey,NJ ,3406930,1-Regular local school district that is NOT a component of a supervisory union,1745,144.96,42438000,31803000,9637000,998000,40385000
HASKELL,Oklahoma,OK ,4013950,1-Regular local school district that is NOT a component of a supervisory union,650,47.63,7443000,2313000,4188000,942000,7633000
HASKELL CISD,Texas,TX ,4822740,1-Regular local school district that is NOT a component of a supervisory union,550,63.66,11661000,5501000,4026000,2134000,10926000
HASLETT PUBLIC SCHOOLS,Michigan,MI ,2617940,1-Regular local school district that is NOT a component of a supervisory union,2618,167.59,41300000,14098000,24737000,2465000,55817000
HASTINGS AREA SCHOOL DISTRICT,Michigan,MI ,2617970,1-Regular local school district that is NOT a component of a supervisory union,2537,131.60,35141000,10933000,21381000,2827000,31741000
HASTINGS PUBLIC SCHOOL DISTRICT,Minnesota,MN ,2713530,1-Regular local school district that is NOT a component of a supervisory union,4222,229.99,65907000,20482000,40937000,4488000,66784000
HASTINGS PUBLIC SCHOOLS,Nebraska,NE ,3171580,1-Regular local school district that is NOT a component of a supervisory union,3672,264.40,49937000,19045000,25426000,5466000,48993000
HASTINGS-ON-HUDSON UNION FREE SCHOOL DISTRICT,New York,NY ,3613950,1-Regular local school district that is NOT a component of a supervisory union,1593,149.30,52656000,43696000,8584000,376000,56625000
HATBORO-HORSHAM SD,Pennsylvania,PA ,4211610,1-Regular local school district that is NOT a component of a supervisory union,4349,372.53,112925000,86721000,21484000,4720000,109265000
HATCH VALLEY PUBLIC SCHOOLS,New Mexico,NM ,3501230,1-Regular local school district that is NOT a component of a supervisory union,1222,81.00,18528000,1289000,13288000,3951000,17525000
HATFIELD,Massachusetts,MA ,2505940,1-Regular local school district that is NOT a component of a supervisory union,397,40.30,7565000,5395000,1772000,398000,7979000
HATIKVAH INTERNATIONAL ACADEMY CHARTER SCHOOL,New Jersey,NJ ,3400735,7-Independent Charter District,547,42.54,8195000,6901000,1033000,261000,8040000
HATTIESBURG PUBLIC SCHOOL DIST,Mississippi,MS ,2801800,1-Regular local school district that is NOT a component of a supervisory union,3698,318.37,57072000,23912000,20526000,12634000,62042000
HATTON EIELSON 7,North Dakota,ND ,3809000,1-Regular local school district that is NOT a component of a supervisory union,183,22.32,4141000,1836000,1922000,383000,3566000
HAUPPAUGE UNION FREE SCHOOL DISTRICT,New York,NY ,3613980,1-Regular local school district that is NOT a component of a supervisory union,3288,289.99,117840000,94548000,21248000,2044000,109977000
HAVANA CUSD 126,Illinois,IL ,1718510,1-Regular local school district that is NOT a component of a supervisory union,892,–,16436000,7185000,7891000,1360000,14538000
HAVASUPAI ELEMENTARY SCHOOL,Bureau of Indian Education,BI ,5900165,1-Regular local school district that is NOT a component of a supervisory union,65,7.00,†,†,†,†,†
HAVEN MONTESSORI CHILDREN'S HOUSE INC. (89951),Arizona,AZ ,0400782,7-Independent Charter District,69,–,730000,21000,566000,143000,992000
HAVEN PUBLIC SCHOOLS,Kansas,KS ,2006960,1-Regular local school district that is NOT a component of a supervisory union,779,66.50,12994000,3498000,8780000,716000,12169000
HAVERFORD TOWNSHIP SD,Pennsylvania,PA ,4211670,1-Regular local school district that is NOT a component of a supervisory union,6563,430.25,132090000,107772000,22308000,2010000,143354000
HAVERHILL,Massachusetts,MA ,2505970,1-Regular local school district that is NOT a component of a supervisory union,7771,594.25,151587000,54944000,83326000,13317000,154444000
HAVERHILL COOPERATIVE SAU OFFICE,New Hampshire,NH ,3399923,3-Supervisory union administrative center (or county superintendent's office serving the same purpose),†,†,†,†,†,†,†
HAVERHILL COOPERATIVE SCHOOL DISTRICT,New Hampshire,NH ,3303660,2-Local school district that is a component of a supervisory union,663,70.30,14867000,7952000,5798000,1117000,14074000
HAVERSTRAW-STONY POINT CSD (NORTH ROCKLAND),New York,NY ,3614010,1-Regular local school district that is NOT a component of a supervisory union,7910,541.14,236164000,142961000,83735000,9468000,220434000
HAVILAND,Kansas,KS ,2006990,1-Regular local school district that is NOT a component of a supervisory union,110,13.32,2391000,843000,1456000,92000,2306000
HAVRE ELEM,Montana,MT ,3013560,1-Regular local school district that is NOT a component of a supervisory union,1171,73.70,15000000,4652000,6598000,3750000,14595000
HAVRE H S,Montana,MT ,3013590,1-Regular local school district that is NOT a component of a supervisory union,534,35.30,6988000,3443000,3284000,261000,7100000
HAWAII DEPARTMENT OF EDUCATION,Hawaii,HI ,1500030,1-Regular local school district that is NOT a component of a supervisory union,176441,12145.40,3241890000,19108000,2851764000,371018000,3115265000
HAWKING S.T.E.A.M. CHARTER DISTRICT,CALIFORNIA,CA ,0602075,7-Independent Charter District,1295,59.00,17718000,5368000,10791000,1559000,14156000
HAWKINS COUNTY,Tennessee,TN ,4701740,1-Regular local school district that is NOT a component of a supervisory union,6275,475.72,74809000,22657000,40663000,11489000,80306000
HAWKINS ISD,Texas,TX ,4822770,1-Regular local school district that is NOT a component of a supervisory union,657,60.75,11601000,8938000,1373000,1290000,10241000
HAWKS HOME ELEM,Montana,MT ,3013280,1-Regular local school district that is NOT a component of a supervisory union,14,1.00,148000,64000,81000,3000,146000
HAWLEMONT,Massachusetts,MA ,2506000,1-Regular local school district that is NOT a component of a supervisory union,118,10.30,3101000,1698000,1072000,331000,2973000
HAWLEY ISD,Texas,TX ,4822800,1-Regular local school district that is NOT a component of a supervisory union,780,75.69,11954000,2582000,8112000,1260000,10009000
HAWLEY PUBLIC SCHOOL DISTRICT,Minnesota,MN ,2713560,1-Regular local school district that is NOT a component of a supervisory union,1000,55.05,13738000,3166000,9602000,970000,13658000
HAWORTH,Oklahoma,OK ,4014080,1-Regular local school district that is NOT a component of a supervisory union,509,32.95,6459000,1099000,4384000,976000,6217000
HAWORTH PUBLIC SCHOOL DISTRICT,New Jersey,NJ ,3406960,1-Regular local school district that is NOT a component of a supervisory union,400,43.50,11854000,9444000,2279000,131000,11001000
HAWTHORN ACADEMY,Utah,UT ,4900137,7-Independent Charter District,1314,–,12930000,362000,11460000,1108000,12423000
HAWTHORN CCSD 73,Illinois,IL ,1718570,1-Regular local school district that is NOT a component of a supervisory union,3748,–,87873000,57957000,27879000,2037000,86999000
HAWTHORN LEADERSHIP SCHL GIRLS,MISSOURI,MO ,2900608,7-Independent Charter District,112,13.70,2401000,918000,971000,512000,2415000
HAWTHORNE,California,CA ,0616680,1-Regular local school district that is NOT a component of a supervisory union,7581,305.63,143911000,24685000,93929000,25297000,137891000
HAWTHORNE PUBLIC SCHOOL DISTRICT,New Jersey,NJ ,3406990,1-Regular local school district that is NOT a component of a supervisory union,2258,198.00,56853000,41808000,12905000,2140000,58456000
HAWTHORNE-CEDAR KNOLLS UNION FREE SCHOOL DISTRICT,New York,NY ,3614070,1-Regular local school district that is NOT a component of a supervisory union,70,32.00,15044000,14442000,124000,478000,16538000
HAXTUN SCHOOL DISTRICT NO. RE-2J,Colorado,CO ,0804560,1-Regular local school district that is NOT a component of a supervisory union,340,26.98,5052000,1916000,2540000,596000,4818000
HAY SPRINGS PUBLIC SCHOOLS,Nebraska,NE ,3171610,1-Regular local school district that is NOT a component of a supervisory union,205,19.38,3738000,1830000,1642000,266000,3470000
HAYDEN CANYON CHARTER SCHOOL INC.,IDAHO,ID ,1600184,7-Independent Charter District,290,16.60,2645000,162000,1572000,911000,2382000
HAYDEN SCHOOL DISTRICT NO. RE 1,Colorado,CO ,0804590,1-Regular local school district that is NOT a component of a supervisory union,384,32.00,16438000,6691000,9132000,615000,18514000
HAYDEN-WINKELMAN UNIFIED DISTRICT (4212),Arizona,AZ ,0403730,1-Regular local school district that is NOT a component of a supervisory union,289,20.28,6959000,5097000,1190000,672000,6287000
HAYES CENTER PUBLIC SCHOOLS,Nebraska,NE ,3109120,1-Regular local school district that is NOT a component of a supervisory union,128,17.22,3303000,2715000,399000,189000,3348000
HAYFIELD PUBLIC SCHOOL DISTRICT,Minnesota,MN ,2713590,1-Regular local school district that is NOT a component of a supervisory union,667,46.94,10928000,2787000,7304000,837000,10008000
HAYS,Kansas,KS ,2007020,1-Regular local school district that is NOT a component of a supervisory union,3221,235.17,50803000,17608000,26183000,7012000,51080000
HAYS CISD,Texas,TX ,4800010,1-Regular local school district that is NOT a component of a supervisory union,20322,1374.82,261038000,140296000,95170000,25572000,233346000
HAYS WEST CENTRAL KS SPECIAL ED. COOP.,KANSAS,KS ,2000367,4-Regional Education Service Agency (RESA),0,0.00,†,†,†,†,†
HAYS-LODGE POLE K-12 SCHLS,Montana,MT ,3013660,1-Regular local school district that is NOT a component of a supervisory union,275,20.00,6885000,632000,2034000,4219000,8349000
HAYSVILLE,Kansas,KS ,2007050,1-Regular local school district that is NOT a component of a supervisory union,5732,375.70,78225000,8771000,64423000,5031000,72070000
HAYTI R-II,Missouri,MO ,2913800,1-Regular local school district that is NOT a component of a supervisory union,597,46.29,7657000,1948000,3297000,2412000,7486000
HAYWARD COLLEGIATE CHARTER DISTRICT,CALIFORNIA,CA ,0602523,7-Independent Charter District,116,4.00,1869000,804000,840000,225000,1469000
