ELSI Export

National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/

This is a District based table with the following filters applied: State(s) (All Years): All 50 + DC and outlying territories

Agency Name,State Name [District] Latest available year,State Abbr [District] Latest available year,Agency ID - NCES Assigned [District] Latest available year,Agency Type [District] 2022-23,Total Students All Grades (Excludes AE) [District] 2022-23,Full-Time Equivalent (FTE) Teachers [District] 2022-23
WAXAHACHIE ISD,Texas,TX ,4844730,1-Regular local school district that is NOT a component of a supervisory union,10837,760.96
WAY ACADEMY - FLINT,Michigan,MI ,2601056,7-Independent Charter District,92,3.75
WAY MICHIGAN,MICHIGAN,MI ,2601074,7-Independent Charter District,‡,1.90
WAYLAND,Massachusetts,MA ,2512210,1-Regular local school district that is NOT a component of a supervisory union,2783,236.55
WAYLAND UNION SCHOOLS,Michigan,MI ,2635550,1-Regular local school district that is NOT a component of a supervisory union,2849,157.06
WAYLAND-COHOCTON CENTRAL SCHOOL DISTRICT,New York,NY ,3600011,1-Regular local school district that is NOT a component of a supervisory union,1333,139.39
WAYNE,Oklahoma,OK ,4032010,1-Regular local school district that is NOT a component of a supervisory union,449,31.00
WAYNE CENTRAL SCHOOL DISTRICT,New York,NY ,3630330,1-Regular local school district that is NOT a component of a supervisory union,2058,182.01
WAYNE CITY CUSD 100,Illinois,IL ,1741360,1-Regular local school district that is NOT a component of a supervisory union,496,40.20
WAYNE CO SCHOOL DIST,Mississippi,MS ,2804530,1-Regular local school district that is NOT a component of a supervisory union,2900,243.14
WAYNE COMM SCHOOL DISTRICT,Iowa,IA ,1930560,1-Regular local school district that is NOT a component of a supervisory union,625,47.75
WAYNE COMMUNITY SCHOOLS,Nebraska,NE ,3178520,1-Regular local school district that is NOT a component of a supervisory union,997,61.45
WAYNE COUNTY,Tennessee,TN ,4704440,1-Regular local school district that is NOT a component of a supervisory union,2162,169.17
WAYNE COUNTY,Kentucky,KY ,2105790,1-Regular local school district that is NOT a component of a supervisory union,3207,190.50
WAYNE COUNTY,Georgia,GA ,1305550,1-Regular local school district that is NOT a component of a supervisory union,5172,360.30
WAYNE COUNTY JVSD,Ohio,OH ,3905171,4-Regional Education Service Agency (RESA),592,53.00
WAYNE COUNTY PUBLIC SCHOOLS,North Carolina,NC ,3704880,1-Regular local school district that is NOT a component of a supervisory union,17558,1098.62
WAYNE COUNTY SCHOOLS,West Virginia,WV ,5401500,1-Regular local school district that is NOT a component of a supervisory union,6240,488.50
WAYNE DISTRICT,Utah,UT ,4901170,1-Regular local school district that is NOT a component of a supervisory union,473,30.64
WAYNE HIGHLANDS SD,Pennsylvania,PA ,4224970,1-Regular local school district that is NOT a component of a supervisory union,2360,200.91
WAYNE LOCAL,Ohio,OH ,3905046,1-Regular local school district that is NOT a component of a supervisory union,1617,73.10
WAYNE PREPARATORY,North Carolina,NC ,3700377,7-Independent Charter District,1015,74.88
WAYNE RESA,Michigan,MI ,2680995,9-Specialized public school district,7509,0.00
WAYNE STEM PREPARATORY,NORTH CAROLINA,NC ,3705079,7-Independent Charter District,†,†
WAYNE TOWNSHIP PUBLIC SCHOOL DISTRICT,New Jersey,NJ ,3417280,1-Regular local school district that is NOT a component of a supervisory union,7746,676.99
WAYNE TRACE LOCAL,Ohio,OH ,3904903,1-Regular local school district that is NOT a component of a supervisory union,890,63.00
WAYNE-WESTLAND COMMUNITY SCHOOL DISTRICT,Michigan,MI ,2600015,1-Regular local school district that is NOT a component of a supervisory union,9773,625.37
WAYNESBORO AREA SD,Pennsylvania,PA ,4225110,1-Regular local school district that is NOT a component of a supervisory union,4303,262.00
WAYNESBORO CITY PUBLIC SCHOOLS,Virginia,VA ,5103930,1-Regular local school district that is NOT a component of a supervisory union,3041,238.50
WAYNESFIELD-GOSHEN LOCAL,Ohio,OH ,3904597,1-Regular local school district that is NOT a component of a supervisory union,472,37.39
WAYNESVILLE R-VI,Missouri,MO ,2931440,1-Regular local school district that is NOT a component of a supervisory union,6155,389.20
WAYNOKA,Oklahoma,OK ,4032040,1-Regular local school district that is NOT a component of a supervisory union,223,23.95
WAYSIDE SCHOOLS,Texas,TX ,4800044,7-Independent Charter District,1651,107.04
WAYZATA PUBLIC SCHOOL DISTRICT,Minnesota,MN ,2742160,1-Regular local school district that is NOT a component of a supervisory union,12318,704.18
WE THE PEOPLE HIGH DISTRICT,CALIFORNIA,CA ,0602529,7-Independent Charter District,38,6.72
WEAKLEY COUNTY,Tennessee,TN ,4704470,1-Regular local school district that is NOT a component of a supervisory union,3987,302.00
WEARE SCHOOL DISTRICT,New Hampshire,NH ,3306930,1-Regular local school district that is NOT a component of a supervisory union,897,68.00
WEATHERFORD,Oklahoma,OK ,4032070,1-Regular local school district that is NOT a component of a supervisory union,2388,140.33
WEATHERFORD ISD,Texas,TX ,4844800,1-Regular local school district that is NOT a component of a supervisory union,8255,571.88
WEATHERLY AREA SD,Pennsylvania,PA ,4225140,1-Regular local school district that is NOT a component of a supervisory union,610,44.00
WEATHERSFIELD LOCAL,Ohio,OH ,3905025,1-Regular local school district that is NOT a component of a supervisory union,905,57.09
WEATHERSFIELD SCHOOL DISTRICT,Vermont,VT ,5008700,2-Local school district that is a component of a supervisory union,275,18.00
WEAUBLEAU R-III,Missouri,MO ,2931460,1-Regular local school district that is NOT a component of a supervisory union,348,28.82
WEAVER UNION,California,CA ,0641880,1-Regular local school district that is NOT a component of a supervisory union,3130,145.22
WEBB CISD,Texas,TX ,4844810,1-Regular local school district that is NOT a component of a supervisory union,245,33.07
WEBB CITY R-VII,Missouri,MO ,2931500,1-Regular local school district that is NOT a component of a supervisory union,4621,315.80
WEBBERS FALLS,Oklahoma,OK ,4032130,1-Regular local school district that is NOT a component of a supervisory union,307,22.95
WEBBERVILLE COMMUNITY SCHOOLS,Michigan,MI ,2635730,1-Regular local school district that is NOT a component of a supervisory union,456,27.16
WEBER DISTRICT,Utah,UT ,4901200,1-Regular local school district that is NOT a component of a supervisory union,32888,1547.53
WEBER STATE UNIVERSITY CHARTER ACADEMY,Utah,UT ,4900167,7-Independent Charter District,15,1.00
WEBSTER,Massachusetts,MA ,2512240,1-Regular local school district that is NOT a component of a supervisory union,1728,144.58
WEBSTER AREA 18-5,South Dakota,SD ,4676990,1-Regular local school district that is NOT a component of a supervisory union,551,37.97
WEBSTER CENTRAL SCHOOL DISTRICT,New York,NY ,3630360,1-Regular local school district that is NOT a component of a supervisory union,8071,638.76
WEBSTER CITY COMM SCHOOL DISTRICT,Iowa,IA ,1930630,1-Regular local school district that is NOT a component of a supervisory union,1827,123.33
WEBSTER CO SCHOOL DIST,Mississippi,MS ,2804560,1-Regular local school district that is NOT a component of a supervisory union,1739,135.44
WEBSTER COUNTY,Kentucky,KY ,2105820,1-Regular local school district that is NOT a component of a supervisory union,2168,125.00
WEBSTER COUNTY,Georgia,GA ,1305580,1-Regular local school district that is NOT a component of a supervisory union,265,26.00
WEBSTER COUNTY SCHOOLS,West Virginia,WV ,5401530,1-Regular local school district that is NOT a component of a supervisory union,1192,99.00
WEBSTER GROVES,Missouri,MO ,2931530,1-Regular local school district that is NOT a component of a supervisory union,4407,329.60
WEBSTER PARISH,Louisiana,LA ,2201890,1-Regular local school district that is NOT a component of a supervisory union,5549,275.88
WEBSTER SCHOOL DISTRICT,Wisconsin,WI ,5516230,1-Regular local school district that is NOT a component of a supervisory union,646,55.55
WEED UNION ELEMENTARY,California,CA ,0641980,1-Regular local school district that is NOT a component of a supervisory union,323,18.00
WEEDSPORT CENTRAL SCHOOL DISTRICT,New York,NY ,3630420,1-Regular local school district that is NOT a component of a supervisory union,719,64.14
WEEHAWKEN PUBLIC SCHOOL DISTRICT,New Jersey,NJ ,3417310,1-Regular local school district that is NOT a component of a supervisory union,1309,129.00
WEEPING WATER PUBLIC SCHOOLS,Nebraska,NE ,3178540,1-Regular local school district that is NOT a component of a supervisory union,310,29.70
WEILENMANN SCHOOL OF DISCOVERY,Utah,UT ,4900145,7-Independent Charter District,535,40.02
WEIMAR ISD,Texas,TX ,4844820,1-Regular local school district that is NOT a component of a supervisory union,704,61.02
WEISER DISTRICT,Idaho,ID ,1603330,1-Regular local school district that is NOT a component of a supervisory union,1559,87.51
WELCH,Oklahoma,OK ,4032190,1-Regular local school district that is NOT a component of a supervisory union,286,26.10
WELD 6 GREELEY AU,Colorado,CO ,0800270,4-Regional Education Service Agency (RESA),†,†
WELD COUNTY REORGANIZED SCHOOL DISTRICT NO. RE-1,Colorado,CO ,0804200,1-Regular local school district that is NOT a component of a supervisory union,1837,146.63
WELD COUNTY REORGANIZED SCHOOL DISTRICT NO. RE-4,Colorado,CO ,0807350,1-Regular local school district that is NOT a component of a supervisory union,8227,475.27
WELD COUNTY SCHOOL DISTRICT NO. RE-2,Colorado,CO ,0803600,1-Regular local school district that is NOT a component of a supervisory union,1977,123.02
WELD COUNTY SCHOOL DISTRICT NO. RE-5J,Colorado,CO ,0804830,1-Regular local school district that is NOT a component of a supervisory union,3869,223.99
WELD COUNTY SCHOOL DISTRICT NO. RE-7,Colorado,CO ,0804950,1-Regular local school district that is NOT a component of a supervisory union,1094,80.44
WELD COUNTY SCHOOL DISTRICT NO. RE-9,Colorado,CO ,0802310,1-Regular local school district that is NOT a component of a supervisory union,993,67.96
WELD COUNTY SCHOOL DISTRICT RE-3J,Colorado,CO ,0804920,1-Regular local school district that is NOT a component of a supervisory union,2785,179.75
WELD RE-4 WINDSOR AU,Colorado,CO ,0800250,4-Regional Education Service Agency (RESA),†,†
WELD RE-5J JOHNSTOWN-MILLIKEN AU,Colorado,CO ,0800281,4-Regional Education Service Agency (RESA),†,†
WELD RE-8 SCHOOLS,Colorado,CO ,0804020,1-Regular local school district that is NOT a component of a supervisory union,2522,139.76
WELDON CITY SCHOOLS,North Carolina,NC ,3704890,1-Regular local school district that is NOT a component of a supervisory union,659,50.44
WELEETKA,Oklahoma,OK ,4032220,1-Regular local school district that is NOT a component of a supervisory union,382,31.48
WELLESLEY,Massachusetts,MA ,2512270,1-Regular local school district that is NOT a component of a supervisory union,4219,376.18
WELLFLEET,Massachusetts,MA ,2512300,1-Regular local school district that is NOT a component of a supervisory union,98,10.64
WELLINGTON,Kansas,KS ,2012840,1-Regular local school district that is NOT a component of a supervisory union,1497,125.50
WELLINGTON EXEMPTED VILLAGE,Ohio,OH ,3904565,1-Regular local school district that is NOT a component of a supervisory union,920,‡
WELLINGTON ISD,Texas,TX ,4844890,1-Regular local school district that is NOT a component of a supervisory union,530,51.03
WELLINGTON-NAPOLEON R-IX,Missouri,MO ,2931560,1-Regular local school district that is NOT a component of a supervisory union,382,34.40
WELLMAN-UNION CISD,Texas,TX ,4844910,1-Regular local school district that is NOT a component of a supervisory union,286,26.62
WELLPINIT SCHOOL DISTRICT #49,Washington,WA ,5309630,1-Regular local school district that is NOT a component of a supervisory union,389,34.29
WELLS CENTRAL SCHOOL DISTRICT,New York,NY ,3630450,1-Regular local school district that is NOT a component of a supervisory union,135,22.00
WELLS ISD,Texas,TX ,4844940,1-Regular local school district that is NOT a component of a supervisory union,259,22.43
WELLS SPRING UNIFIED UNION SCHOOL DISTRICT #69,VERMONT,VT ,5000409,2-Local school district that is a component of a supervisory union,197,15.04
WELLS TOWNSHIP SCHOOL DISTRICT,Michigan,MI ,2635790,1-Regular local school district that is NOT a component of a supervisory union,14,3.61
WELLS-OGUNQUIT CSD,Maine,ME ,2313490,1-Regular local school district that is NOT a component of a supervisory union,1407,116.90
WELLSBORO AREA SD,Pennsylvania,PA ,4225170,1-Regular local school district that is NOT a component of a supervisory union,1420,109.00
WELLSPRING PREPARATORY HIGH SCHOOL,Michigan,MI ,2600981,7-Independent Charter District,307,19.20
WELLSTON,Oklahoma,OK ,4032280,1-Regular local school district that is NOT a component of a supervisory union,514,31.29
WELLSTON CITY,Ohio,OH ,3904502,1-Regular local school district that is NOT a component of a supervisory union,1267,76.55
WELLSVILLE,Kansas,KS ,2012870,1-Regular local school district that is NOT a component of a supervisory union,843,56.60
WELLSVILLE CENTRAL SCHOOL DISTRICT,New York,NY ,3630480,1-Regular local school district that is NOT a component of a supervisory union,1173,104.97
WELLSVILLE LOCAL,Ohio,OH ,3904503,1-Regular local school district that is NOT a component of a supervisory union,707,51.66
WELLSVILLE MIDDLETOWN R-I,Missouri,MO ,2931620,1-Regular local school district that is NOT a component of a supervisory union,311,34.08
WELLTON ELEMENTARY DISTRICT (4504),Arizona,AZ ,0409090,1-Regular local school district that is NOT a component of a supervisory union,156,12.25
WENATCHEE SCHOOL DISTRICT,Washington,WA ,5309660,1-Regular local school district that is NOT a component of a supervisory union,7347,467.49
WENDELL DISTRICT,Idaho,ID ,1603360,1-Regular local school district that is NOT a component of a supervisory union,1121,69.22
WENDEN ELEMENTARY DISTRICT (4512),Arizona,AZ ,0409120,1-Regular local school district that is NOT a component of a supervisory union,80,8.00
WENONAH  BORO SCHOOL DISTRICT,New Jersey,NJ ,3417340,1-Regular local school district that is NOT a component of a supervisory union,167,19.90
WENTWORTH SCHOOL DISTRICT,New Hampshire,NH ,3306990,1-Regular local school district that is NOT a component of a supervisory union,69,8.00
WENTZVILLE R-IV,Missouri,MO ,2931650,1-Regular local school district that is NOT a component of a supervisory union,17997,1274.26
WES WATKINS TECHNOLOGY CENTER,Oklahoma,OK ,4000065,8-Other education agencies,†,†
WES-DEL COMMUNITY SCHOOLS,Indiana,IN ,1804500,1-Regular local school district that is NOT a component of a supervisory union,861,63.00
WESCLIN CUSD 3,Illinois,IL ,1739420,1-Regular local school district that is NOT a component of a supervisory union,1346,90.70
WESKAN,Kansas,KS ,2012900,1-Regular local school district that is NOT a component of a supervisory union,106,15.30
WESLACO ISD,Texas,TX ,4844960,1-Regular local school district that is NOT a component of a supervisory union,16491,1021.94
WESLEY PUBLIC SCHOOLS,Maine,ME ,2313500,1-Regular local school district that is NOT a component of a supervisory union,5,1.00
WESSINGTON SPRINGS SCHOOL DISTRICT 36-2,South Dakota,SD ,4677460,1-Regular local school district that is NOT a component of a supervisory union,422,29.45
WEST ALLEGHENY SD,Pennsylvania,PA ,4225200,1-Regular local school district that is NOT a component of a supervisory union,3335,221.00
WEST ALLIS-WEST MILWAUKEE SCHOOL DISTRICT,Wisconsin,WI ,5516260,1-Regular local school district that is NOT a component of a supervisory union,7095,522.72
WEST BABYLON UNION FREE SCHOOL DISTRICT,New York,NY ,3630540,1-Regular local school district that is NOT a component of a supervisory union,3693,335.25
