,state.abb,id,name,ncesID,name_nces,note
562,VT,230524,northern mountain valley unified union school district,,,
563,IA,163215,south o’brien community school district,,,
564,MT,398576,target range public school,,,
565,MT,1035597,lodge grass school district no. 27 & 2,,,
566,NH,1266641,northumberland school district,,,
567,MN,282298,independent school district no. 2898,2700183,WESTBROOK-WALNUT GROVE SCHOOLS,
568,ND,224972,lake region special education district,,,
569,MT,326274,malta public school district no. 14a,,,
570,WI,1268224,school district of marathon city,,,
571,ND,224973,may-port cg public school district no. 14,,,
572,KY,224756,science hill independent school district,,,
573,MO,1267929,oak ridge r-vi school,,,
574,ME,1267840,maine school administrative district no. 59,,,
575,UT,1035255,grand canyon unified school district no. 4,,,
576,SC,1240932,gates school,,,
577,NJ,1238906,high point regional high school,,,
578,KS,1239325,unified school district no. 374,,,
579,MO,224874,tipton r-6 school district,,,
580,NJ,1240612,east hanover townhip board of education,,,
581,CT,1266094,town of scarborough school department,,,
582,WI,230640,gillett school district,,,
583,KS,398489,unified school district no. 366,,,
584,MT,1268513,target range school district,,,
585,MO,282436,osage county no. 2 school district,,,
586,MT,1035432,plains public schools,,,
587,ME,224478,maine school administrative district no. 20,,,
588,ME,399540,five town community school district,,,
589,IN,107803,rush county school corporation,,,
590,MT,398577,thompson falls public schools,,,
591,ND,224978,sheyenne valley special education unit,,,
592,ND,224976,northern cass public school district,,,
593,ID,42017,cossa academy school district no. 555,,,
594,CA,145887,alview-dairyland union school district,,,
595,KS,1238301,unified school district no. 109,,,
596,KS,224307,unified school district no. 246,,,
597,MT,1268514,thompson falls school district,,,
598,IL,1267675,carbondale elementary school,,,
599,MT,1266227,scobey school district no. 1,,,
600,MT,35388,lodge grass school district no 27 and 2,,,
601,MT,326275,school district no.1 deer lodge elementary,,,
602,WI,401162,kickapoo area school district,,,
603,WI,230658,hurley school district,,,
604,OK,147049,depew public schools,,,
605,IN,66441,south putnam community school corporation,,,
606,ME,224481,regional school unit no. 70,,,
607,KS,1267770,unified school district 218,,,
608,WI,1239660,walworth joint no. 1 school district,,,
609,IL,42094,casey-westfield community unit school district c-4,,,
610,IL,224148,lindop school district no. 92-cook county no 92,,,
611,NJ,1240306,mount ephraim school district,,,
612,MO,81475,johnson county r-7 school district,,,
613,IL,1265884,west harvey dixmoor school district no. 147,,,
614,KS,1268665,unified school district no. 270,,,
615,ID,50110,west side school district no. 202,,,
616,MO,1238666,delta r-5 school district,,,
617,NJ,1238928,sussex county technical school,,,
618,ME,1267839,maine school administrative district no. 4,,,
619,MO,1238717,sweet springs r-7 school district,,,
620,ME,224477,mount desert island consolidated school district,,,
621,ME,224473,maine school administrative district no. 63,,,
622,ND,108552,james river special education cooperative,,,
623,IL,32892,community unit school district no. 1,,,
624,ID,224633,school district no. 59,,,
625,MT,296174,whitehall public schools,,,
626,MT,398572,darby public schools,,,
627,ME,224472,maine school administrative district no. 31,,,
628,AZ,1267168,peach springs unified school district no. 8,,,
629,MT,1266223,custer school district no. 15,,,
630,CA,67469,lakeside union elementary school district hanford,,,
631,CO,398330,aguilar school district re-6,,,
632,ID,224659,valley school district,,,
633,MT,35416,heart butte school district no. 1,,,
634,MT,296172,bonner public school,,,
635,MT,1268511,deer lodge elementary school district 1,,,
636,KS,224313,unified school district no. 251,,,
637,KS,1267774,unified school district number 452,,,
638,IL,1267670,alsip hazelgreen oak lawn school district 126,,,
639,KS,1267765,unified school district no. 349,,,
640,CT,68357,regional supervision district board of education,,,
641,OH,400073,euclid preparatory school,,,
642,MT,398831,harlowton school district no. 16,,,
643,MT,1268698,bonner elementary school,,,
644,WI,1239647,school district of rib lake,,,
645,CA,67708,pioneer union school district (el dorado county),,,
646,WI,1268220,minocqua joint 1 school distric,,,
647,WI,230587,bangor school district,,,
648,MS,224887,school district of university city,,,
